#: table_doi: 10.17182/hepdata.68072.v1/t1
#: name: Table 1
#: description: Toward $N_\text{chg}$ density vs $p_\perp^{\mu\mu}$.

#: data_file: Table1.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Double Differential Distribution | Azimuthal Angular Dependence | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp(\mu\mu)$ [GeV],$p_\perp(\mu\mu)$ [GeV] LOW,$p_\perp(\mu\mu)$ [GeV] HIGH,$\langle\mathrm{d}^2 N_\text{chg}/\mathrm{d}\eta\mathrm{d}\phi\rangle$,error +,error -
2.5,0.0,5.0,0.697,0.013337,-0.013337
7.5,5.0,10.0,0.7202,0.0137727,-0.0137727
12.5,10.0,15.0,0.7434,0.014257,-0.014257
17.5,15.0,20.0,0.7735,0.0148917,-0.0148917
22.5,20.0,25.0,0.7914,0.0153151,-0.0153151
27.5,25.0,30.0,0.8041,0.0156721,-0.0156721
32.5,30.0,35.0,0.8136,0.0159833,-0.0159833
37.5,35.0,40.0,0.8251,0.0163856,-0.0163856
42.5,40.0,45.0,0.834,0.016755,-0.016755
47.5,45.0,50.0,0.8489,0.0173086,-0.0173086
52.5,50.0,55.0,0.8459,0.0175024,-0.0175024
57.5,55.0,60.0,0.8488,0.017957,-0.017957
62.5,60.0,65.0,0.8749,0.0188093,-0.0188093
67.5,65.0,70.0,0.8725,0.0193612,-0.0193612
72.5,70.0,75.0,0.8643,0.0197522,-0.0197522
77.5,75.0,80.0,0.9078,0.0214387,-0.0214387
82.5,80.0,85.0,0.8859,0.0220231,-0.0220231
87.5,85.0,90.0,0.9155,0.0230863,-0.0230863
92.5,90.0,95.0,0.8625,0.0235662,-0.0235662
97.5,95.0,100.0,0.8895,0.024323,-0.024323

