#: table_doi: 10.17182/hepdata.68072.v1/t12
#: name: Table 12
#: description: Towards $+$ transverse $\langle p_\perp \rangle$ vs $m_{\mu\mu}$, $p_\perp^{\mu\mu} < 5$ GeV.

#: data_file: Table12.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$m_{\mu\mu}$ [GeV],$m_{\mu\mu}$ [GeV] LOW,$m_{\mu\mu}$ [GeV] HIGH,$\langle p_\perp \rangle$,error +,error -
45.0,40.0,50.0,1.08196,0.0321002,-0.0321002
55.0,50.0,60.0,1.05911,0.0295985,-0.0295985
65.0,60.0,70.0,1.07328,0.0292374,-0.0292374
75.0,70.0,80.0,1.07994,0.0263433,-0.0263433
85.0,80.0,90.0,1.06395,0.0218682,-0.0218682
95.0,90.0,100.0,1.06422,0.0206571,-0.0206571
105.0,100.0,110.0,1.07184,0.0256736,-0.0256736
115.0,110.0,120.0,1.06785,0.0348488,-0.0348488
125.0,120.0,130.0,1.07693,0.0472764,-0.0472764
135.0,130.0,140.0,1.04866,0.0567819,-0.0567819

