#: table_doi: 10.17182/hepdata.68072.v1/t14
#: name: Table 14
#: description: Transverse $N_\text{chg}$.

#: data_file: Table14.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: DN/DN
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$N_\text{chg}$,$N_\text{chg}$ LOW,$N_\text{chg}$ HIGH,$1/N_\text{ev} \; \mathrm{d} N_\text{ev} / \mathrm{d} N_\text{chg}$,error +,error -
0.0,-0.5,0.5,0.05215,0.00326521,-0.00326521
1.0,0.5,1.5,0.07534,0.0022457,-0.0022457
2.0,1.5,2.5,0.08652,0.00186926,-0.00186926
3.0,2.5,3.5,0.08893,0.00153659,-0.00153659
4.0,3.5,4.5,0.08871,0.001026,-0.001026
5.0,4.5,5.5,0.08478,0.000779513,-0.000779513
6.0,5.5,6.5,0.07757,0.000756458,-0.000756458
7.0,6.5,7.5,0.07048,0.000931104,-0.000931104
8.0,7.5,8.5,0.06202,0.00110033,-0.00110033
9.0,8.5,9.5,0.05403,0.00122627,-0.00122627
10.0,9.5,10.5,0.04627,0.00128941,-0.00128941
11.0,10.5,11.5,0.03902,0.00129368,-0.00129368
12.0,11.5,12.5,0.03262,0.00125615,-0.00125615
13.0,12.5,13.5,0.02726,0.0011976,-0.0011976
14.0,13.5,14.5,0.02222,0.00109759,-0.00109759
15.0,14.5,15.5,0.01853,0.00101736,-0.00101736
16.0,15.5,16.5,0.01501,0.000907361,-0.000907361
17.0,16.5,17.5,0.01207,0.000797351,-0.000797351
18.0,17.5,18.5,0.00972,0.000697089,-0.000697089
19.0,18.5,19.5,0.007709,0.000597225,-0.000597225
20.0,19.5,20.5,0.00623,0.000518503,-0.000518503
21.0,20.5,21.5,0.004981,0.00044461,-0.00044461
22.0,21.5,22.5,0.003825,0.000364679,-0.000364679
23.0,22.5,23.5,0.003123,0.00031641,-0.00031641
24.0,23.5,24.5,0.002431,0.00026257,-0.00026257
25.0,24.5,25.5,0.001889,0.00021694,-0.00021694
26.0,25.5,26.5,0.001408,0.000171869,-0.000171869
27.0,26.5,27.5,0.001174,0.000152393,-0.000152393
28.0,27.5,28.5,0.0008396,0.000114945,-0.000114945
29.0,28.5,29.5,0.0006937,9.98886e-05,-9.98886e-05
30.0,29.5,30.5,0.0005797,9.22807e-05,-9.22807e-05

