#: table_doi: 10.17182/hepdata.68072.v1/t15
#: name: Table 15
#: description: Away $N_\text{chg}$.

#: data_file: Table15.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: DN/DN
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$N_\text{chg}$,$N_\text{chg}$ LOW,$N_\text{chg}$ HIGH,$1/N_\text{ev} \; \mathrm{d} N_\text{ev} / \mathrm{d} N_\text{chg}$,error +,error -
0.0,-0.5,0.5,0.02278,0.00159247,-0.00159247
1.0,0.5,1.5,0.03903,0.00151023,-0.00151023
2.0,1.5,2.5,0.0521,0.0016496,-0.0016496
3.0,2.5,3.5,0.06087,0.0014941,-0.0014941
4.0,3.5,4.5,0.06587,0.00129049,-0.00129049
5.0,4.5,5.5,0.06967,0.00111811,-0.00111811
6.0,5.5,6.5,0.07126,0.00091185,-0.00091185
7.0,6.5,7.5,0.07024,0.00108867,-0.00108867
8.0,7.5,8.5,0.06731,0.000977577,-0.000977577
9.0,8.5,9.5,0.0631,0.000932763,-0.000932763
10.0,9.5,10.5,0.05789,0.00091905,-0.00091905
11.0,10.5,11.5,0.05245,0.000942285,-0.000942285
12.0,11.5,12.5,0.04723,0.000981128,-0.000981128
13.0,12.5,13.5,0.04159,0.000999283,-0.000999283
14.0,13.5,14.5,0.03603,0.00099241,-0.00099241
15.0,14.5,15.5,0.03096,0.000962039,-0.000962039
16.0,15.5,16.5,0.0262,0.000914477,-0.000914477
17.0,16.5,17.5,0.02254,0.000876159,-0.000876159
18.0,17.5,18.5,0.01913,0.000839593,-0.000839593
19.0,18.5,19.5,0.0158,0.000773819,-0.000773819
20.0,19.5,20.5,0.01297,0.000701848,-0.000701848
21.0,20.5,21.5,0.01065,0.000631822,-0.000631822
22.0,21.5,22.5,0.008779,0.000566532,-0.000566532
23.0,22.5,23.5,0.007218,0.000504599,-0.000504599
24.0,23.5,24.5,0.005843,0.000441194,-0.000441194
25.0,24.5,25.5,0.004696,0.000380403,-0.000380403
26.0,25.5,26.5,0.00372,0.000321892,-0.000321892
27.0,26.5,27.5,0.002996,0.000277579,-0.000277579
28.0,27.5,28.5,0.002403,0.000236876,-0.000236876
29.0,28.5,29.5,0.001919,0.000201643,-0.000201643
30.0,29.5,30.5,0.001535,0.000172955,-0.000172955

