#: table_doi: 10.17182/hepdata.68072.v1/t16
#: name: Table 16
#: description: Toward $p_\perp$.

#: data_file: Table16.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp$ [GeV],$p_\perp$ [GeV] LOW,$p_\perp$ [GeV] HIGH,$1/N_\text{ev} \; \mathrm{d} N_\text{chg} / \mathrm{d} p_\perp$ [GeV$^{-1}$],error +,error -
0.75,0.5,1.0,6.332,0.0660333,-0.0660333
1.25,1.0,1.5,2.381,0.0272913,-0.0272913
1.75,1.5,2.0,0.9935,0.0160258,-0.0160258
2.25,2.0,2.5,0.4534,0.00858078,-0.00858078
2.75,2.5,3.0,0.2275,0.00503105,-0.00503105
3.25,3.0,3.5,0.1225,0.00313464,-0.00313464
3.75,3.5,4.0,0.07183,0.00210316,-0.00210316
4.25,4.0,4.5,0.04363,0.00144704,-0.00144704
4.75,4.5,5.0,0.02877,0.00107007,-0.00107007
5.25,5.0,5.5,0.02055,0.000848844,-0.000848844
5.75,5.5,6.0,0.01476,0.000672126,-0.000672126
6.25,6.0,6.5,0.01091,0.00054497,-0.00054497
6.75,6.5,7.0,0.007913,0.000431165,-0.000431165
7.25,7.0,7.5,0.006427,0.000379174,-0.000379174
7.75,7.5,8.0,0.005133,0.000326796,-0.000326796
8.25,8.0,8.5,0.004099,0.000279735,-0.000279735
8.75,8.5,9.0,0.003319,0.000242642,-0.000242642
9.25,9.0,9.5,0.002706,0.000211903,-0.000211903
9.75,9.5,10.0,0.002515,0.000207664,-0.000207664
10.25,10.0,10.5,0.002034,0.000178171,-0.000178171
10.75,10.5,11.0,0.001756,0.000162415,-0.000162415
11.25,11.0,11.5,0.00161,0.00015594,-0.00015594
11.75,11.5,12.0,0.001367,0.000140145,-0.000140145
12.25,12.0,12.5,0.001163,0.000125685,-0.000125685
12.75,12.5,13.0,0.000973,0.000110909,-0.000110909
13.25,13.0,13.5,0.0008216,9.89264e-05,-9.89264e-05
13.75,13.5,14.0,0.0008577,0.000105151,-0.000105151
14.25,14.0,14.5,0.0006864,8.90789e-05,-8.90789e-05
14.75,14.5,15.0,0.000717,9.53208e-05,-9.53208e-05

