#: table_doi: 10.17182/hepdata.68072.v1/t18
#: name: Table 18
#: description: Away $p_\perp$.

#: data_file: Table18.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp$ [GeV],$p_\perp$ [GeV] LOW,$p_\perp$ [GeV] HIGH,$1/N_\text{ev} \; \mathrm{d} N_\text{chg} / \mathrm{d} p_\perp$ [GeV$^{-1}$],error +,error -
0.75,0.5,1.0,8.426,0.0731571,-0.0731571
1.25,1.0,1.5,3.517,0.0339348,-0.0339348
1.75,1.5,2.0,1.678,0.0223448,-0.0223448
2.25,2.0,2.5,0.8927,0.0149777,-0.0149777
2.75,2.5,3.0,0.5282,0.0115273,-0.0115273
3.25,3.0,3.5,0.3375,0.00786284,-0.00786284
3.75,3.5,4.0,0.2316,0.00568937,-0.00568937
4.25,4.0,4.5,0.1669,0.00432874,-0.00432874
4.75,4.5,5.0,0.1271,0.00331198,-0.00331198
5.25,5.0,5.5,0.09922,0.00259961,-0.00259961
5.75,5.5,6.0,0.07909,0.00208485,-0.00208485
6.25,6.0,6.5,0.06399,0.00169879,-0.00169879
6.75,6.5,7.0,0.05281,0.00141325,-0.00141325
7.25,7.0,7.5,0.04443,0.00119854,-0.00119854
7.75,7.5,8.0,0.0371,0.00101108,-0.00101108
8.25,8.0,8.5,0.03168,0.00087248,-0.00087248
8.75,8.5,9.0,0.02718,0.00075671,-0.00075671
9.25,9.0,9.5,0.02411,0.000678417,-0.000678417
9.75,9.5,10.0,0.02084,0.000593946,-0.000593946
10.25,10.0,10.5,0.0188,0.000542196,-0.000542196
10.75,10.5,11.0,0.01649,0.000482153,-0.000482153
11.25,11.0,11.5,0.015,0.000443634,-0.000443634
11.75,11.5,12.0,0.01242,0.000376984,-0.000376984
12.25,12.0,12.5,0.01201,0.000366825,-0.000366825
12.75,12.5,13.0,0.0103,0.000322661,-0.000322661
13.25,13.0,13.5,0.009494,0.000301755,-0.000301755
13.75,13.5,14.0,0.0086,0.000278382,-0.000278382
14.25,14.0,14.5,0.007891,0.000259355,-0.000259355
14.75,14.5,15.0,0.007421,0.000247112,-0.000247112

