#: table_doi: 10.17182/hepdata.68072.v1/t19
#: name: Table 19
#: description: Transverse $N_\text{chg}$, $p_\perp(\mu\mu) < 5$ GeV.

#: data_file: Table19.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: DN/DN
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$N_\text{chg}$,$N_\text{chg}$ LOW,$N_\text{chg}$ HIGH,$1/N_\text{ev} \; \mathrm{d} N_\text{ev} / \mathrm{d} N_\text{chg}$,error +,error -
0.0,-0.5,0.5,0.07354,0.00498056,-0.00498056
1.0,0.5,1.5,0.09294,0.00277696,-0.00277696
2.0,1.5,2.5,0.1015,0.00279849,-0.00279849
3.0,2.5,3.5,0.09972,0.00261965,-0.00261965
4.0,3.5,4.5,0.09144,0.00230513,-0.00230513
5.0,4.5,5.5,0.08378,0.00224108,-0.00224108
6.0,5.5,6.5,0.07637,0.00234862,-0.00234862
7.0,6.5,7.5,0.06682,0.00231984,-0.00231984
8.0,7.5,8.5,0.05682,0.00222646,-0.00222646
9.0,8.5,9.5,0.04785,0.00210592,-0.00210592
10.0,9.5,10.5,0.0402,0.00197455,-0.00197455
11.0,10.5,11.5,0.0334,0.00181821,-0.00181821
12.0,11.5,12.5,0.02743,0.00164337,-0.00164337
13.0,12.5,13.5,0.0226,0.00148225,-0.00148225
14.0,13.5,14.5,0.01763,0.00126111,-0.00126111
15.0,14.5,15.5,0.01437,0.00111252,-0.00111252
16.0,15.5,16.5,0.01199,0.0010037,-0.0010037
17.0,16.5,17.5,0.009234,0.00083161,-0.00083161
18.0,17.5,18.5,0.007401,0.000714819,-0.000714819
19.0,18.5,19.5,0.005773,0.00059978,-0.00059978
20.0,19.5,20.5,0.004662,0.000518983,-0.000518983
21.0,20.5,21.5,0.003403,0.000408642,-0.000408642
22.0,21.5,22.5,0.00297,0.000384853,-0.000384853
23.0,22.5,23.5,0.002039,0.000279096,-0.000279096
24.0,23.5,24.5,0.001384,0.000208046,-0.000208046
25.0,24.5,25.5,0.001267,0.000206014,-0.000206014
26.0,25.5,26.5,0.0009028,0.00016351,-0.00016351
27.0,26.5,27.5,0.0006093,0.000120304,-0.000120304
28.0,27.5,28.5,0.0003998,7.98888e-05,-7.98888e-05
29.0,28.5,29.5,0.0004153,9.71607e-05,-9.71607e-05
30.0,29.5,30.5,0.0002593,7.23652e-05,-7.23652e-05

