#: table_doi: 10.17182/hepdata.68072.v1/t2
#: name: Table 2
#: description: Transverse $N_\text{chg}$ density vs $p_\perp^{\mu\mu}$.

#: data_file: Table2.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Double Differential Distribution | Azimuthal Angular Dependence | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp(\mu\mu)$ [GeV],$p_\perp(\mu\mu)$ [GeV] LOW,$p_\perp(\mu\mu)$ [GeV] HIGH,$\langle\mathrm{d}^2 N_\text{chg}/\mathrm{d}\eta\mathrm{d}\phi\rangle$,error +,error -
2.5,0.0,5.0,0.7272,0.0135475,-0.0135475
7.5,5.0,10.0,0.7731,0.0143911,-0.0143911
12.5,10.0,15.0,0.8134,0.0151807,-0.0151807
17.5,15.0,20.0,0.8566,0.0160459,-0.0160459
22.5,20.0,25.0,0.8879,0.0167206,-0.0167206
27.5,25.0,30.0,0.9056,0.0171619,-0.0171619
32.5,30.0,35.0,0.9292,0.0177576,-0.0177576
37.5,35.0,40.0,0.939,0.0181255,-0.0181255
42.5,40.0,45.0,0.9535,0.0186085,-0.0186085
47.5,45.0,50.0,0.9797,0.0193961,-0.0193961
52.5,50.0,55.0,0.9764,0.0196102,-0.0196102
57.5,55.0,60.0,0.9845,0.0201822,-0.0201822
62.5,60.0,65.0,1.004,0.0209439,-0.0209439
67.5,65.0,70.0,1.015,0.0218225,-0.0218225
72.5,70.0,75.0,0.9992,0.0219103,-0.0219103
77.5,75.0,80.0,1.031,0.0234839,-0.0234839
82.5,80.0,85.0,1.019,0.0241515,-0.0241515
87.5,85.0,90.0,1.071,0.0259618,-0.0259618
92.5,90.0,95.0,1.043,0.0267559,-0.0267559
97.5,95.0,100.0,1.103,0.0301872,-0.0301872

