#: table_doi: 10.17182/hepdata.68072.v1/t20
#: name: Table 20
#: description: Transverse $p_\perp$, $p_\perp(\mu\mu) < 5$ GeV.

#: data_file: Table20.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp$ [GeV],$p_\perp$ [GeV] LOW,$p_\perp$ [GeV] HIGH,$1/N_\text{ev} \; \mathrm{d} N_\text{chg} / \mathrm{d} p_\perp$ [GeV$^{-1}$],error +,error -
0.75,0.5,1.0,6.253,0.046166,-0.046166
1.25,1.0,1.5,2.287,0.0302204,-0.0302204
1.75,1.5,2.0,0.9177,0.0144457,-0.0144457
2.25,2.0,2.5,0.3982,0.00836531,-0.00836531
2.75,2.5,3.0,0.1892,0.00504852,-0.00504852
3.25,3.0,3.5,0.09777,0.00319844,-0.00319844
3.75,3.5,4.0,0.05138,0.00201856,-0.00201856
4.25,4.0,4.5,0.0294,0.00136256,-0.00136256
4.75,4.5,5.0,0.01805,0.000971734,-0.000971734
5.25,5.0,5.5,0.01153,0.000713421,-0.000713421
5.75,5.5,6.0,0.007386,0.000525011,-0.000525011
6.25,6.0,6.5,0.005043,0.000407864,-0.000407864
6.75,6.5,7.0,0.003638,0.000329777,-0.000329777
7.25,7.0,7.5,0.002763,0.000275651,-0.000275651
7.75,7.5,8.0,0.001845,0.000207249,-0.000207249
8.25,8.0,8.5,0.001309,0.000171315,-0.000171315
8.75,8.5,9.0,0.001053,0.000150312,-0.000150312
9.25,9.0,9.5,0.0008677,0.000134206,-0.000134206
9.75,9.5,10.0,0.0008764,0.000136309,-0.000136309
10.25,10.0,10.5,0.0006706,0.000124897,-0.000124897
10.75,10.5,11.0,0.0005546,0.000106725,-0.000106725
11.25,11.0,11.5,0.0003708,8.15589e-05,-8.15589e-05
11.75,11.5,12.0,0.0003001,6.95254e-05,-6.95254e-05
12.25,12.0,12.5,0.0003535,8.95769e-05,-8.95769e-05
12.75,12.5,13.0,0.0002207,6.1182e-05,-6.1182e-05
13.25,13.0,13.5,0.0001034,4.1673e-05,-4.1673e-05
13.75,13.5,14.0,0.000102,3.70865e-05,-3.70865e-05
14.25,14.0,14.5,0.0001226,4.48495e-05,-4.48495e-05
14.75,14.5,15.0,0.0001589,6.14293e-05,-6.14293e-05

