#: table_doi: 10.17182/hepdata.68072.v1/t3
#: name: Table 3
#: description: Away $N_\text{chg}$ density vs $p_\perp^{\mu\mu}$.

#: data_file: Table3.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Double Differential Distribution | Azimuthal Angular Dependence | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp(\mu\mu)$ [GeV],$p_\perp(\mu\mu)$ [GeV] LOW,$p_\perp(\mu\mu)$ [GeV] HIGH,$\langle\mathrm{d}^2 N_\text{chg}/\mathrm{d}\eta\mathrm{d}\phi\rangle$,error +,error -
2.5,0.0,5.0,0.772,0.0134066,-0.0134066
7.5,5.0,10.0,0.9094,0.0153156,-0.0153156
12.5,10.0,15.0,1.057,0.0178274,-0.0178274
17.5,15.0,20.0,1.183,0.0194622,-0.0194622
22.5,20.0,25.0,1.292,0.021319,-0.021319
27.5,25.0,30.0,1.374,0.0222158,-0.0222158
32.5,30.0,35.0,1.463,0.023761,-0.023761
37.5,35.0,40.0,1.526,0.0244075,-0.0244075
42.5,40.0,45.0,1.608,0.0259123,-0.0259123
47.5,45.0,50.0,1.67,0.0266529,-0.0266529
52.5,50.0,55.0,1.718,0.0276725,-0.0276725
57.5,55.0,60.0,1.766,0.0284308,-0.0284308
62.5,60.0,65.0,1.833,0.0297963,-0.0297963
67.5,65.0,70.0,1.877,0.0311314,-0.0311314
72.5,70.0,75.0,1.922,0.0323496,-0.0323496
77.5,75.0,80.0,1.958,0.033801,-0.033801
82.5,80.0,85.0,1.957,0.0345463,-0.0345463
87.5,85.0,90.0,2.062,0.0369675,-0.0369675
92.5,90.0,95.0,2.025,0.0380712,-0.0380712
97.5,95.0,100.0,2.104,0.0403143,-0.0403143

