#: table_doi: 10.17182/hepdata.68072.v1/t4
#: name: Table 4
#: description: Toward $\sum p_\perp$ density vs $p_\perp^{\mu\mu}$.

#: data_file: Table4.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: D2PT/DETARAP/DPHI
#: keyword phrases: Inclusive | Azimuthal Angular Dependence | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp(\mu\mu)$ [GeV],$p_\perp(\mu\mu)$ [GeV] LOW,$p_\perp(\mu\mu)$ [GeV] HIGH,$\langle\mathrm{d}^2 \sum p_\perp/\mathrm{d}\eta\mathrm{d}\phi\rangle$ [GeV],error +,error -
2.5,0.0,5.0,0.7399,0.0164873,-0.0164873
7.5,5.0,10.0,0.7798,0.0173683,-0.0173683
12.5,10.0,15.0,0.8258,0.0184567,-0.0184567
17.5,15.0,20.0,0.8784,0.0197299,-0.0197299
22.5,20.0,25.0,0.9221,0.0208925,-0.0208925
27.5,25.0,30.0,0.9541,0.0218021,-0.0218021
32.5,30.0,35.0,0.9792,0.0226379,-0.0226379
37.5,35.0,40.0,1.01,0.023793,-0.023793
42.5,40.0,45.0,1.042,0.0250037,-0.0250037
47.5,45.0,50.0,1.076,0.0264116,-0.0264116
52.5,50.0,55.0,1.09,0.0274619,-0.0274619
57.5,55.0,60.0,1.131,0.0302002,-0.0302002
62.5,60.0,65.0,1.171,0.0318209,-0.0318209
67.5,65.0,70.0,1.171,0.0328043,-0.0328043
72.5,70.0,75.0,1.181,0.0355467,-0.0355467
77.5,75.0,80.0,1.219,0.0382527,-0.0382527
82.5,80.0,85.0,1.297,0.0462308,-0.0462308
87.5,85.0,90.0,1.276,0.043619,-0.043619
92.5,90.0,95.0,1.313,0.0561431,-0.0561431
97.5,95.0,100.0,1.291,0.0529458,-0.0529458

