#: table_doi: 10.17182/hepdata.68072.v1/t5
#: name: Table 5
#: description: Transverse $\sum p_\perp$ density vs $p_\perp^{\mu\mu}$.

#: data_file: Table5.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: D2PT/DETARAP/DPHI
#: keyword phrases: Inclusive | Azimuthal Angular Dependence | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp(\mu\mu)$ [GeV],$p_\perp(\mu\mu)$ [GeV] LOW,$p_\perp(\mu\mu)$ [GeV] HIGH,$\langle\mathrm{d}^2 \sum p_\perp/\mathrm{d}\eta\mathrm{d}\phi\rangle$ [GeV],error +,error -
2.5,0.0,5.0,0.7755,0.0177119,-0.0177119
7.5,5.0,10.0,0.8492,0.0193856,-0.0193856
12.5,10.0,15.0,0.926,0.0212049,-0.0212049
17.5,15.0,20.0,1.014,0.0233479,-0.0233479
22.5,20.0,25.0,1.086,0.0251961,-0.0251961
27.5,25.0,30.0,1.148,0.026929,-0.026929
32.5,30.0,35.0,1.212,0.028816,-0.028816
37.5,35.0,40.0,1.25,0.0303216,-0.0303216
42.5,40.0,45.0,1.304,0.0324172,-0.0324172
47.5,45.0,50.0,1.392,0.0361317,-0.0361317
52.5,50.0,55.0,1.392,0.0360982,-0.0360982
57.5,55.0,60.0,1.471,0.0410844,-0.0410844
62.5,60.0,65.0,1.486,0.0417468,-0.0417468
67.5,65.0,70.0,1.573,0.0477534,-0.0477534
72.5,70.0,75.0,1.547,0.0481098,-0.0481098
77.5,75.0,80.0,1.591,0.0514087,-0.0514087
82.5,80.0,85.0,1.64,0.061191,-0.061191
87.5,85.0,90.0,1.775,0.0751375,-0.0751375
92.5,90.0,95.0,1.769,0.0717473,-0.0717473
97.5,95.0,100.0,1.857,0.0849058,-0.0849058

