#: table_doi: 10.17182/hepdata.68072.v1/t6
#: name: Table 6
#: description: Away $\sum p_\perp$ density vs $p_\perp^{\mu\mu}$.

#: data_file: Table6.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: D2PT/DETARAP/DPHI
#: keyword phrases: Inclusive | Azimuthal Angular Dependence | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp(\mu\mu)$ [GeV],$p_\perp(\mu\mu)$ [GeV] LOW,$p_\perp(\mu\mu)$ [GeV] HIGH,$\langle\mathrm{d}^2 \sum p_\perp/\mathrm{d}\eta\mathrm{d}\phi\rangle$ [GeV],error +,error -
2.5,0.0,5.0,0.8323,0.0150218,-0.0150218
7.5,5.0,10.0,1.047,0.0184815,-0.0184815
12.5,10.0,15.0,1.34,0.0237033,-0.0237033
17.5,15.0,20.0,1.656,0.0288637,-0.0288637
22.5,20.0,25.0,1.989,0.0348101,-0.0348101
27.5,25.0,30.0,2.307,0.0399967,-0.0399967
32.5,30.0,35.0,2.64,0.0460617,-0.0460617
37.5,35.0,40.0,2.98,0.051782,-0.051782
42.5,40.0,45.0,3.349,0.0587756,-0.0587756
47.5,45.0,50.0,3.709,0.0657532,-0.0657532
52.5,50.0,55.0,4.048,0.0725495,-0.0725495
57.5,55.0,60.0,4.365,0.0797752,-0.0797752
62.5,60.0,65.0,4.697,0.086406,-0.086406
67.5,65.0,70.0,5.167,0.0979813,-0.0979813
72.5,70.0,75.0,5.434,0.105507,-0.105507
77.5,75.0,80.0,5.808,0.114179,-0.114179
82.5,80.0,85.0,6.05,0.121803,-0.121803
87.5,85.0,90.0,6.489,0.133888,-0.133888
92.5,90.0,95.0,6.647,0.142982,-0.142982
97.5,95.0,100.0,7.067,0.157283,-0.157283

