#: table_doi: 10.17182/hepdata.68072.v1/t7
#: name: Table 7
#: description: Toward $\langle p_\perp \rangle$ vs $p_\perp^{\mu\mu}$.

#: data_file: Table7.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp(\mu\mu)$ [GeV],$p_\perp(\mu\mu)$ [GeV] LOW,$p_\perp(\mu\mu)$ [GeV] HIGH,$\langle p_\perp \rangle$,error +,error -
2.5,0.0,5.0,1.06155,0.0311792,-0.0311792
7.5,5.0,10.0,1.08275,0.0317855,-0.0317855
12.5,10.0,15.0,1.11084,0.0327147,-0.0327147
17.5,15.0,20.0,1.13562,0.033595,-0.033595
22.5,20.0,25.0,1.16515,0.034718,-0.034718
27.5,25.0,30.0,1.18654,0.0356366,-0.0356366
32.5,30.0,35.0,1.20354,0.0365133,-0.0365133
37.5,35.0,40.0,1.22409,0.0377158,-0.0377158
42.5,40.0,45.0,1.2494,0.0391006,-0.0391006
47.5,45.0,50.0,1.26752,0.0404465,-0.0404465
52.5,50.0,55.0,1.28857,0.0420095,-0.0420095
57.5,55.0,60.0,1.33247,0.0453935,-0.0453935
62.5,60.0,65.0,1.33844,0.0463771,-0.0463771
67.5,65.0,70.0,1.34212,0.0479646,-0.0479646
72.5,70.0,75.0,1.36642,0.0516396,-0.0516396
77.5,75.0,80.0,1.34281,0.0527374,-0.0527374
82.5,80.0,85.0,1.46405,0.0636233,-0.0636233
87.5,85.0,90.0,1.39377,0.0592061,-0.0592061
92.5,90.0,95.0,1.52232,0.077248,-0.077248
97.5,95.0,100.0,1.45138,0.0715408,-0.0715408

