#: table_doi: 10.17182/hepdata.68072.v1/t8
#: name: Table 8
#: description: Transverse $\langle p_\perp \rangle$ vs $p_\perp^{\mu\mu}$.

#: data_file: Table8.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp(\mu\mu)$ [GeV],$p_\perp(\mu\mu)$ [GeV] LOW,$p_\perp(\mu\mu)$ [GeV] HIGH,$\langle p_\perp \rangle$,error +,error -
2.5,0.0,5.0,1.06642,0.0314313,-0.0314313
7.5,5.0,10.0,1.09843,0.032355,-0.032355
12.5,10.0,15.0,1.13843,0.033631,-0.033631
17.5,15.0,20.0,1.18375,0.035137,-0.035137
22.5,20.0,25.0,1.22311,0.0365485,-0.0365485
27.5,25.0,30.0,1.26767,0.0382277,-0.0382277
32.5,30.0,35.0,1.30435,0.0397878,-0.0397878
37.5,35.0,40.0,1.3312,0.0412678,-0.0412678
42.5,40.0,45.0,1.36759,0.043223,-0.043223
47.5,45.0,50.0,1.42084,0.0463837,-0.0463837
52.5,50.0,55.0,1.42565,0.0467619,-0.0467619
57.5,55.0,60.0,1.49416,0.0517659,-0.0517659
62.5,60.0,65.0,1.48008,0.0517901,-0.0517901
67.5,65.0,70.0,1.54975,0.0576514,-0.0576514
72.5,70.0,75.0,1.54824,0.0589138,-0.0589138
77.5,75.0,80.0,1.54316,0.0610067,-0.0610067
82.5,80.0,85.0,1.60942,0.0711411,-0.0711411
87.5,85.0,90.0,1.65733,0.0808451,-0.0808451
92.5,90.0,95.0,1.69607,0.0813941,-0.0813941
97.5,95.0,100.0,1.68359,0.0897138,-0.0897138

