#: table_doi: 10.17182/hepdata.68072.v1/t9
#: name: Table 9
#: description: Away $\langle p_\perp \rangle$ vs $p_\perp^{\mu\mu}$.

#: data_file: Table9.yaml
#: keyword reactions: P P --> CHARGED MU+ MU- X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED MU+ MU- X
#: SQRT(S) [GeV],,,7000.0
$p_\perp(\mu\mu)$ [GeV],$p_\perp(\mu\mu)$ [GeV] LOW,$p_\perp(\mu\mu)$ [GeV] HIGH,$\langle p_\perp \rangle$,error +,error -
2.5,0.0,5.0,1.07811,0.0270029,-0.0270029
7.5,5.0,10.0,1.15131,0.0280887,-0.0280887
12.5,10.0,15.0,1.26774,0.0309849,-0.0309849
17.5,15.0,20.0,1.39983,0.0335507,-0.0335507
22.5,20.0,25.0,1.53947,0.0370297,-0.0370297
27.5,25.0,30.0,1.67904,0.0398043,-0.0398043
32.5,30.0,35.0,1.80451,0.043014,-0.043014
37.5,35.0,40.0,1.95282,0.0461198,-0.0461198
42.5,40.0,45.0,2.08271,0.0496232,-0.0496232
47.5,45.0,50.0,2.22096,0.052978,-0.052978
52.5,50.0,55.0,2.35623,0.0567776,-0.0567776
57.5,55.0,60.0,2.47169,0.0601993,-0.0601993
62.5,60.0,65.0,2.56247,0.062906,-0.062906
67.5,65.0,70.0,2.7528,0.0693507,-0.0693507
72.5,70.0,75.0,2.82726,0.0726488,-0.0726488
77.5,75.0,80.0,2.96629,0.0776061,-0.0776061
82.5,80.0,85.0,3.09147,0.0827765,-0.0827765
87.5,85.0,90.0,3.14694,0.0860179,-0.0860179
92.5,90.0,95.0,3.28247,0.0937761,-0.0937761
97.5,95.0,100.0,3.35884,0.0986416,-0.0986416

