#: table_doi: 10.17182/hepdata.58995.v1/t119
#: name: Table 119
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.2 and jet PT in the range 8 to 11 GeV.

#: data_file: Table119.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,8.0-11.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00311043,6.84296e-05,-6.84296e-05,0.000200207,-0.000200207
0.75,0.5,1.0,0.00370548,7.04042e-05,-7.04042e-05,0.000205379,-0.000205379
1.5,1.0,2.0,0.00343221,4.46187e-05,-4.46187e-05,0.000166559,-0.000166559
2.5,2.0,3.0,0.00405778,4.46356e-05,-4.46356e-05,0.000175144,-0.000175144
3.5,3.0,4.0,0.00452028,4.52028e-05,-4.52028e-05,0.000192842,-0.000192842
4.5,4.0,5.0,0.00473276,4.25948e-05,-4.25948e-05,0.000168196,-0.000168196
5.5,5.0,6.0,0.00470064,4.23057e-05,-4.23057e-05,0.000170005,-0.000170005
6.5,6.0,7.0,0.00465142,3.72113e-05,-3.72113e-05,0.000166479,-0.000166479
7.5,7.0,8.0,0.00447203,3.57762e-05,-3.57762e-05,0.000174524,-0.000174524
8.5,8.0,9.0,0.00427523,3.42018e-05,-3.42018e-05,0.000163971,-0.000163971
9.5,9.0,10.0,0.0039823,3.18584e-05,-3.18584e-05,0.000147721,-0.000147721
11.0,10.0,12.0,0.00353087,2.8247e-05,-2.8247e-05,0.000136978,-0.000136978
13.5,12.0,15.0,0.00273287,1.91301e-05,-1.91301e-05,9.50237e-05,-9.50237e-05
16.5,15.0,18.0,0.0018318,1.46544e-05,-1.46544e-05,9.232e-05,-9.232e-05
19.5,18.0,21.0,0.00114051,1.25456e-05,-1.25456e-05,7.83805e-05,-7.83805e-05
22.5,21.0,24.0,0.000654119,8.50355e-06,-8.50355e-06,4.91896e-05,-4.91896e-05
25.5,24.0,27.0,0.000361996,6.15393e-06,-6.15393e-06,3.09438e-05,-3.09438e-05
28.5,27.0,30.0,0.000198943,4.57569e-06,-4.57569e-06,2.22452e-05,-2.22452e-05
31.5,30.0,33.0,0.00010993,3.29789e-06,-3.29789e-06,1.53315e-05,-1.53315e-05
34.5,33.0,36.0,6.07162e-05,2.48936e-06,-2.48936e-06,1.3123e-05,-1.3123e-05
37.5,36.0,39.0,3.06423e-05,1.8079e-06,-1.8079e-06,6.75599e-06,-6.75599e-06
40.5,39.0,42.0,1.41386e-05,1.08867e-06,-1.08867e-06,2.62186e-06,-2.62186e-06
43.5,42.0,45.0,7.7206e-06,8.64701e-07,-8.64701e-07,2.05018e-06,-2.05018e-06

#: PT(C=JET) [GeV],,,8.0-11.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00628544,0.000100567,-0.000100567,0.000319941,-0.000319941
0.75,0.5,1.0,0.00765369,9.9498e-05,-9.9498e-05,0.000374562,-0.000374562
1.5,1.0,2.0,0.00652635,6.52635e-05,-6.52635e-05,0.000230834,-0.000230834
2.5,2.0,3.0,0.00673406,6.06065e-05,-6.06065e-05,0.000227368,-0.000227368
3.5,3.0,4.0,0.00654587,5.23669e-05,-5.23669e-05,0.000240243,-0.000240243
4.5,4.0,5.0,0.00607971,4.86377e-05,-4.86377e-05,0.000200814,-0.000200814
5.5,5.0,6.0,0.00559181,4.47345e-05,-4.47345e-05,0.000208328,-0.000208328
6.5,6.0,7.0,0.00503166,4.02533e-05,-4.02533e-05,0.000208252,-0.000208252
7.5,7.0,8.0,0.00433507,3.46806e-05,-3.46806e-05,0.000166548,-0.000166548
8.5,8.0,9.0,0.00375389,3.3785e-05,-3.3785e-05,0.00014422,-0.00014422
9.5,9.0,10.0,0.00318991,2.87092e-05,-2.87092e-05,0.000109345,-0.000109345
