#: table_doi: 10.17182/hepdata.58995.v1/t12
#: name: Table 12
#: description: Mean value of SUM(PT) v jet PT for R=0.4.

#: data_file: Table12.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: MEAN
#: keyword phrases: Inclusive | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.9145,0.0006,-0.0006,0.0268,-0.0268
5.5,5.0,6.0,1.0831,0.001,-0.001,0.0303,-0.0303
7.0,6.0,8.0,1.2449,0.0013,-0.0013,0.0349,-0.0349
9.5,8.0,11.0,1.4343,0.0023,-0.0023,0.0402,-0.0402
12.5,11.0,14.0,1.627,0.0046,-0.0046,0.0456,-0.0456
16.5,14.0,19.0,1.8537,0.0077,-0.0077,0.0519,-0.0519
21.5,19.0,24.0,2.1857,0.0161,-0.0161,0.0677,-0.0677
27.5,24.0,31.0,2.5821,0.0283,-0.0283,0.08,-0.08
40.5,31.0,50.0,3.3678,0.0528,-0.0528,0.1288,-0.1288
75.0,50.0,100.0,5.3208,0.2399,-0.2399,0.2956,-0.2956

#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.7976,0.0006,-0.0006,0.0234,-0.0234
5.5,5.0,6.0,0.9237,0.0009,-0.0009,0.0259,-0.0259
7.0,6.0,8.0,1.0254,0.0011,-0.0011,0.0287,-0.0287
9.5,8.0,11.0,1.1053,0.0018,-0.0018,0.031,-0.031
12.5,11.0,14.0,1.1442,0.0034,-0.0034,0.0321,-0.0321
16.5,14.0,19.0,1.1621,0.0051,-0.0051,0.0326,-0.0326
21.5,19.0,24.0,1.1878,0.0095,-0.0095,0.0368,-0.0368
27.5,24.0,31.0,1.2652,0.0152,-0.0152,0.0392,-0.0392
40.5,31.0,50.0,1.3507,0.0231,-0.0231,0.0517,-0.0517
75.0,50.0,100.0,1.5892,0.0759,-0.0759,0.1028,-0.1028

