#: table_doi: 10.17182/hepdata.58995.v1/t125
#: name: Table 125
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.2 and jet PT in the range 50 to 100 GeV.

#: data_file: Table125.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,6.7243e-06,3.28423e-06,-3.28423e-06,7.92505e-07,-7.92505e-07
6.5,4.0,9.0,6.0944e-06,2.01862e-06,-2.01862e-06,6.52165e-07,-6.52165e-07

#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,1.95765e-05,5.14375e-06,-5.14375e-06,1.50525e-06,-1.50525e-06
6.5,4.0,9.0,1.42581e-05,3.04696e-06,-3.04696e-06,1.04457e-06,-1.04457e-06

