#: table_doi: 10.17182/hepdata.58995.v1/t2
#: name: Table 2
#: description: Mean value of N(C=CHARGED) v jet PT for R=0.4.

#: data_file: Table2.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: MEAN
#: keyword phrases: Inclusive | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=N(C=CHARGED)),stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.9022,0.0006,-0.0006,0.0258,-0.0258
5.5,5.0,6.0,1.0302,0.001,-0.001,0.0281,-0.0281
7.0,6.0,8.0,1.1387,0.0012,-0.0012,0.031,-0.031
9.5,8.0,11.0,1.2434,0.0021,-0.0021,0.0339,-0.0339
12.5,11.0,14.0,1.3268,0.004,-0.004,0.0361,-0.0361
16.5,14.0,19.0,1.4066,0.0062,-0.0062,0.0383,-0.0383
21.5,19.0,24.0,1.5131,0.012,-0.012,0.0458,-0.0458
27.5,24.0,31.0,1.6309,0.0196,-0.0196,0.0494,-0.0494
40.5,31.0,50.0,1.8209,0.0307,-0.0307,0.0552,-0.0552
75.0,50.0,100.0,2.1503,0.0868,-0.0868,0.0995,-0.0995

#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=N(C=CHARGED)),stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.8039,0.0006,-0.0006,0.023,-0.023
5.5,5.0,6.0,0.9037,0.0009,-0.0009,0.0246,-0.0246
7.0,6.0,8.0,0.9758,0.0011,-0.0011,0.0266,-0.0266
9.5,8.0,11.0,1.0199,0.0017,-0.0017,0.0278,-0.0278
12.5,11.0,14.0,1.0299,0.0032,-0.0032,0.0281,-0.0281
16.5,14.0,19.0,1.0215,0.0046,-0.0046,0.0278,-0.0278
21.5,19.0,24.0,1.0199,0.0083,-0.0083,0.0345,-0.0345
27.5,24.0,31.0,1.0552,0.013,-0.013,0.0357,-0.0357
40.5,31.0,50.0,1.0652,0.0182,-0.0182,0.036,-0.036
75.0,50.0,100.0,1.1516,0.048,-0.048,0.0532,-0.0532

