#: table_doi: 10.17182/hepdata.58995.v1/t35
#: name: Table 35
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 50 to 100 GeV.

#: data_file: Table35.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,3.205e-06,4.43614e-06,-4.43614e-06,4.19882e-07,-4.19882e-07
2.0,1.0,3.0,2.9925e-06,2.03058e-06,-2.03058e-06,5.75633e-07,-5.75633e-07
1.5,1.0,2.0,-,0,0,0,0
2.5,2.0,3.0,-,0,0,0,0
3.5,3.0,4.0,7.2465e-06,4.3189e-06,-4.3189e-06,1.6625e-06,-1.6625e-06
4.5,4.0,5.0,7.7328e-06,3.72719e-06,-3.72719e-06,9.92154e-07,-9.92154e-07
5.5,5.0,6.0,6.7358e-06,3.0446e-06,-3.0446e-06,1.33172e-06,-1.33172e-06
6.5,6.0,7.0,8.2756e-06,3.43438e-06,-3.43438e-06,1.73931e-06,-1.73931e-06
7.5,7.0,8.0,8.541e-06,3.45909e-06,-3.45909e-06,1.82634e-06,-1.82634e-06
8.5,8.0,9.0,7.9132e-06,3.3077e-06,-3.3077e-06,1.51328e-06,-1.51328e-06
9.5,9.0,10.0,8.243e-06,3.39628e-06,-3.39628e-06,1.8243e-06,-1.8243e-06
11.0,10.0,12.0,8.6585e-06,3.04778e-06,-3.04778e-06,2.26756e-06,-2.26756e-06
13.5,12.0,15.0,1.07329e-05,2.95156e-06,-2.95156e-06,8.90447e-07,-8.90447e-07
16.5,15.0,18.0,9.7272e-06,2.71388e-06,-2.71388e-06,2.71466e-06,-2.71466e-06
19.5,18.0,21.0,6.59e-06,2.12205e-06,-2.12205e-06,1.47539e-06,-1.47539e-06
22.5,21.0,24.0,5.0184e-06,1.90196e-06,-1.90196e-06,1.73279e-06,-1.73279e-06
25.5,24.0,27.0,3.1204e-06,1.42604e-06,-1.42604e-06,1.19124e-06,-1.19124e-06

#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,7.982e-06,5.79529e-06,-5.79529e-06,1.73732e-06,-1.73732e-06
2.0,1.0,3.0,-,0,0,0,0
1.5,1.0,2.0,1.10249e-05,5.52348e-06,-5.52348e-06,1.62752e-06,-1.62752e-06
2.5,2.0,3.0,1.15911e-05,5.26234e-06,-5.26234e-06,3.15472e-06,-3.15472e-06
3.5,3.0,4.0,1.84794e-05,6.61563e-06,-6.61563e-06,3.83968e-06,-3.83968e-06
4.5,4.0,5.0,1.88383e-05,6.0094e-06,-6.0094e-06,2.47927e-06,-2.47927e-06
5.5,5.0,6.0,1.71369e-05,5.58664e-06,-5.58664e-06,3.46223e-06,-3.46223e-06
6.5,6.0,7.0,1.46819e-05,4.69821e-06,-4.69821e-06,2.10851e-06,-2.10851e-06
7.5,7.0,8.0,1.56749e-05,4.79651e-06,-4.79651e-06,2.65333e-06,-2.65333e-06
8.5,8.0,9.0,1.53743e-05,4.62765e-06,-4.62765e-06,2.83849e-06,-2.83849e-06
9.5,9.0,10.0,1.2716e-05,4.0564e-06,-4.0564e-06,1.30222e-06,-1.30222e-06
11.0,10.0,12.0,9.4585e-06,3.03618e-06,-3.03618e-06,1.89356e-06,-1.89356e-06
13.5,12.0,15.0,5.4981e-06,2.04528e-06,-2.04528e-06,6.17669e-07,-6.17669e-07
16.5,15.0,18.0,2.8227e-06,1.3323e-06,-1.3323e-06,4.56739e-07,-4.56739e-07
19.5,18.0,21.0,-,0,0,0,0
22.5,21.0,24.0,-,0,0,0,0
25.5,24.0,27.0,-,0,0,0,0

