#: table_doi: 10.17182/hepdata.58995.v1/t7
#: name: Table 7
#: description: Mean value of PT(C=AVERAGE) v jet PT for R=0.4.

#: data_file: Table7.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: MEAN
#: keyword phrases: Inclusive | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=PT(C=AVERAGE)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.9773,0.0007,-0.0007,0.0155,-0.0155
5.5,5.0,6.0,1.0217,0.0009,-0.0009,0.0136,-0.0136
7.0,6.0,8.0,1.064,0.0011,-0.0011,0.0142,-0.0142
9.5,8.0,11.0,1.1235,0.0017,-0.0017,0.0149,-0.0149
12.5,11.0,14.0,1.1962,0.0033,-0.0033,0.0159,-0.0159
16.5,14.0,19.0,1.2775,0.0051,-0.0051,0.017,-0.017
21.5,19.0,24.0,1.3922,0.0099,-0.0099,0.0242,-0.0242
27.5,24.0,31.0,1.5221,0.0164,-0.0164,0.0265,-0.0265
40.5,31.0,50.0,1.7683,0.026,-0.026,0.0387,-0.0387
75.0,50.0,100.0,2.2549,0.0856,-0.0856,0.0928,-0.0928

#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=PT(C=AVERAGE)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.9289,0.0007,-0.0007,0.0152,-0.0152
5.5,5.0,6.0,0.964,0.0009,-0.0009,0.0129,-0.0129
7.0,6.0,8.0,0.9904,0.001,-0.001,0.0133,-0.0133
9.5,8.0,11.0,1.0165,0.0016,-0.0016,0.0136,-0.0136
12.5,11.0,14.0,1.0336,0.0029,-0.0029,0.0139,-0.0139
16.5,14.0,19.0,1.0536,0.0043,-0.0043,0.0141,-0.0141
21.5,19.0,24.0,1.079,0.0081,-0.0081,0.0236,-0.0236
27.5,24.0,31.0,1.1027,0.0122,-0.0122,0.0242,-0.0242
40.5,31.0,50.0,1.1547,0.0181,-0.0181,0.0254,-0.0254
75.0,50.0,100.0,1.2283,0.0485,-0.0485,0.0505,-0.0505

