#: table_doi: 10.17182/hepdata.58995.v1/t88
#: name: Table 88
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.6 and jet PT in the range 6 to 8 GeV.

#: data_file: Table88.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,6.0-8.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0090813,6.35691e-05,-6.35691e-05,0.001104,-0.001104
0.55,0.5,0.6,0.0397856,0.000238713,-0.000238713,0.00273914,-0.00273914
0.6499999999999999,0.6,0.7,0.101456,0.000405825,-0.000405825,0.00438498,-0.00438498
0.75,0.7,0.8,0.209176,0.000418351,-0.000418351,0.00942684,-0.00942684
0.8500000000000001,0.8,0.9,0.327082,0.000654163,-0.000654163,0.0124463,-0.0124463
0.95,0.9,1.0,0.389806,0.000779611,-0.000779611,0.0151974,-0.0151974
1.05,1.0,1.1,0.360262,0.000720525,-0.000720525,0.011364,-0.011364
1.15,1.1,1.2,0.280212,0.000560425,-0.000560425,0.00948179,-0.00948179
1.25,1.2,1.3,0.190792,0.000381583,-0.000381583,0.00802459,-0.00802459
1.35,1.3,1.4,0.122325,0.000366974,-0.000366974,0.00560963,-0.00560963
1.5,1.4,1.6,0.0617797,0.000185339,-0.000185339,0.00277115,-0.00277115
1.7000000000000002,1.6,1.8,0.0249223,9.96891e-05,-9.96891e-05,0.00181437,-0.00181437
1.9,1.8,2.0,0.0107719,7.54036e-05,-7.54036e-05,0.00181797,-0.00181797
2.1,2.0,2.2,0.00522123,5.22123e-05,-5.22123e-05,0.00137242,-0.00137242
2.3,2.2,2.4,0.00271804,3.80525e-05,-3.80525e-05,0.000698213,-0.000698213
2.5,2.4,2.6,0.00151313,2.72363e-05,-2.72363e-05,0.000386515,-0.000386515
2.7,2.6,2.8,0.000924086,2.1254e-05,-2.1254e-05,0.000240495,-0.000240495
2.9,2.8,3.0,0.00063173,1.83202e-05,-1.83202e-05,0.000185491,-0.000185491
3.15,3.0,3.3,0.000411672,1.31735e-05,-1.31735e-05,0.000120551,-0.000120551
3.45,3.3,3.6,0.000195317,8.78927e-06,-8.78927e-06,5.89877e-05,-5.89877e-05
3.75,3.6,3.9,0.000127419,6.49835e-06,-6.49835e-06,3.73124e-05,-3.73124e-05
4.05,3.9,4.2,6.52801e-05,4.37377e-06,-4.37377e-06,1.93024e-05,-1.93024e-05
4.35,4.2,4.5,5.45634e-05,5.29265e-06,-5.29265e-06,1.56972e-05,-1.56972e-05
4.65,4.5,4.8,4.62196e-05,4.85305e-06,-4.85305e-06,1.35346e-05,-1.35346e-05
4.949999999999999,4.8,5.1,2.15054e-05,3.05377e-06,-3.05377e-06,6.4191e-06,-6.4191e-06
5.25,5.1,5.4,2.07184e-05,3.43926e-06,-3.43926e-06,4.19209e-06,-4.19209e-06
5.550000000000001,5.4,5.7,1.04148e-05,1.99964e-06,-1.99964e-06,3.04979e-06,-3.04979e-06
5.85,5.7,6.0,1.04767e-05,2.32582e-06,-2.32582e-06,3.0762e-06,-3.0762e-06
6.35,5.7,7.0,-,0,0,0,0
6.5,6.0,7.0,4.9657e-06,9.48447e-07,-9.48447e-07,1.33135e-06,-1.33135e-06
7.5,7.0,8.0,2.1064e-06,6.78276e-07,-6.78276e-07,5.17393e-07,-5.17393e-07

#: PT(C=JET) [GeV],,,6.0-8.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.016004,8.00202e-05,-8.00202e-05,0.00193139,-0.00193139
0.55,0.5,0.6,0.0673758,0.000336879,-0.000336879,0.00321715,-0.00321715
0.6499999999999999,0.6,0.7,0.146385,0.000439156,-0.000439156,0.00594439,-0.00594439
0.75,0.7,0.8,0.258594,0.000517187,-0.000517187,0.0101348,-0.0101348
0.8500000000000001,0.8,0.9,0.354995,0.000709991,-0.000709991,0.0121531,-0.0121531
0.95,0.9,1.0,0.381347,0.000762695,-0.000762695,0.0123394,-0.0123394
1.05,1.0,1.1,0.326182,0.000652363,-0.000652363,0.0102889,-0.0102889
1.15,1.1,1.2,0.241453,0.000482905,-0.000482905,0.00981083,-0.00981083
1.25,1.2,1.3,0.159149,0.000318298,-0.000318298,0.00853045,-0.00853045
1.35,1.3,1.4,0.0986411,0.000295923,-0.000295923,0.00690417,-0.00690417
1.5,1.4,1.6,0.0494828,0.000148448,-0.000148448,0.00388495,-0.00388495
1.7000000000000002,1.6,1.8,0.0189626,9.4813e-05,-9.4813e-05,0.0019732,-0.0019732
1.9,1.8,2.0,0.00828326,6.62661e-05,-6.62661e-05,0.00133067,-0.00133067
2.1,2.0,2.2,0.00391243,4.30367e-05,-4.30367e-05,0.00103636,-0.00103636
2.3,2.2,2.4,0.00199893,3.39819e-05,-3.39819e-05,0.000554379,-0.000554379
2.5,2.4,2.6,0.00118573,2.6086e-05,-2.6086e-05,0.000327834,-0.000327834
2.7,2.6,2.8,0.000696054,1.94895e-05,-1.94895e-05,0.000180108,-0.000180108
2.9,2.8,3.0,0.000424985,1.57245e-05,-1.57245e-05,0.000126853,-0.000126853
3.15,3.0,3.3,0.000253361,1.01344e-05,-1.01344e-05,7.5319e-05,-7.5319e-05
3.45,3.3,3.6,0.00013634,6.95332e-06,-6.95332e-06,4.00975e-05,-4.00975e-05
3.75,3.6,3.9,9.21009e-05,6.90757e-06,-6.90757e-06,2.73622e-05,-2.73622e-05
4.05,3.9,4.2,4.63274e-05,4.4011e-06,-4.4011e-06,1.13488e-05,-1.13488e-05
4.35,4.2,4.5,4.27663e-05,4.40493e-06,-4.40493e-06,1.26003e-05,-1.26003e-05
4.65,4.5,4.8,2.57389e-05,3.29458e-06,-3.29458e-06,6.01795e-06,-6.01795e-06
