#: table_doi: 10.17182/hepdata.65229.v1/t1
#: name: Table 1
#: description: Transverse $\langle \sum p_T^\text{ch} / \delta\eta\,\delta\phi \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 2.5$ in incl jet / excl dijet events.

#: data_file: Table1.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum p_T^\text{ch} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.184,0.002133,-0.002133,0.05209,-0.04949
35.0,30.0,40.0,1.198,0.005373,-0.005373,0.06994,-0.06451
50.0,40.0,60.0,1.223,0.008959,-0.008959,0.1117,-0.03597
70.0,60.0,80.0,1.329,0.004687,-0.004687,0.06507,-0.05272
95.0,80.0,110.0,1.449,0.009605,-0.009605,0.1198,-0.0787
135.0,110.0,160.0,1.591,0.006444,-0.006444,0.09915,-0.06376
185.0,160.0,210.0,1.777,0.01058,-0.01058,0.1212,-0.07376
235.0,210.0,260.0,1.993,0.01537,-0.01537,0.1389,-0.09959
285.0,260.0,310.0,2.059,0.03099,-0.03099,0.202,-0.1231
355.0,310.0,400.0,2.191,0.0273,-0.0273,0.186,-0.1101
600.0,400.0,800.0,2.511,0.06649,-0.06649,0.2726,-0.1949

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum p_T^\text{ch} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.156,0.007098,-0.007098,0.1071,-0.1025
35.0,30.0,40.0,1.141,0.008234,-0.008234,0.06011,-0.05223
50.0,40.0,60.0,1.099,0.01146,-0.01146,0.0669,-0.06658
70.0,60.0,80.0,1.118,0.005355,-0.005355,0.04195,-0.04235
95.0,80.0,110.0,1.118,0.01008,-0.01008,0.05169,-0.06027
135.0,110.0,160.0,1.107,0.006274,-0.006274,0.04208,-0.03991
185.0,160.0,210.0,1.075,0.009308,-0.009308,0.04859,-0.03471
235.0,210.0,260.0,1.071,0.01239,-0.01239,0.03361,-0.05464
285.0,260.0,310.0,1.05,0.02472,-0.02472,0.04118,-0.05618
355.0,310.0,400.0,1.028,0.01933,-0.01933,0.0563,-0.0402
600.0,400.0,800.0,0.9788,0.0402,-0.0402,0.02993,-0.06519

