#: table_doi: 10.17182/hepdata.65229.v1/t10
#: name: Table 10
#: description: Transverse $\langle \text{mean}~p_T^\text{ch} \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 2.5$ in incl jet / excl dijet events.

#: data_file: Table10.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \text{mean}~p_T^\text{ch} \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.083,0.0008856,-0.0008856,0.01933,-0.0186
35.0,30.0,40.0,1.108,0.002327,-0.002327,0.01924,-0.014
50.0,40.0,60.0,1.151,0.004215,-0.004215,0.04569,-0.01648
70.0,60.0,80.0,1.199,0.002191,-0.002191,0.01516,-0.01258
95.0,80.0,110.0,1.256,0.00448,-0.00448,0.03716,-0.0126
135.0,110.0,160.0,1.327,0.003643,-0.003643,0.02794,-0.01064
185.0,160.0,210.0,1.423,0.004922,-0.004922,0.034,-0.01415
235.0,210.0,260.0,1.508,0.006585,-0.006585,0.03115,-0.02747
285.0,260.0,310.0,1.549,0.01316,-0.01316,0.06182,-0.0235
355.0,310.0,400.0,1.61,0.01153,-0.01153,0.0543,-0.03056
600.0,400.0,800.0,1.772,0.03068,-0.03068,0.07407,-0.05271

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \text{mean}~p_T^\text{ch} \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.081,0.003258,-0.003258,0.1,-0.09987
35.0,30.0,40.0,1.089,0.003724,-0.003724,0.04959,-0.0482
50.0,40.0,60.0,1.094,0.005416,-0.005416,0.04275,-0.03452
70.0,60.0,80.0,1.111,0.002623,-0.002623,0.01438,-0.01742
95.0,80.0,110.0,1.121,0.005254,-0.005254,0.02166,-0.02699
135.0,110.0,160.0,1.131,0.003275,-0.003275,0.01441,-0.01094
185.0,160.0,210.0,1.135,0.005349,-0.005349,0.01398,-0.01091
235.0,210.0,260.0,1.129,0.007403,-0.007403,0.03315,-0.03815
285.0,260.0,310.0,1.131,0.01428,-0.01428,0.05638,-0.06636
355.0,310.0,400.0,1.123,0.01139,-0.01139,0.02062,-0.01411
600.0,400.0,800.0,1.143,0.02404,-0.02404,0.01798,-0.03154

