#: table_doi: 10.17182/hepdata.65229.v1/t11
#: name: Table 11
#: description: Transverse $\langle \text{mean}~p_T^\text{ch} \rangle$ vs. $N_\text{ch}$ in $|\eta| < 2.5$ in incl jet events.

#: data_file: Table11.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch}$,$N_\text{ch}$ LOW,$N_\text{ch}$ HIGH,$\langle \text{mean}~p_T^\text{ch} \rangle$ (GeV),stat +,stat -,sys +,sys -
1.5,0.5,2.5,1.027,0.02924,-0.02924,0.04116,-0.04347
3.5,2.5,4.5,1.048,0.0178,-0.0178,0.01746,-0.01931
5.5,4.5,6.5,1.11,0.01352,-0.01352,0.04495,-0.03286
7.5,6.5,8.5,1.133,0.01471,-0.01471,0.02346,-0.01739
9.5,8.5,10.5,1.15,0.01247,-0.01247,0.01564,-0.04104
11.5,10.5,12.5,1.152,0.01367,-0.01367,0.01665,-0.01772
13.5,12.5,14.5,1.144,0.01372,-0.01372,0.02313,-0.01771
15.5,14.5,16.5,1.165,0.01381,-0.01381,0.01575,-0.02278
17.5,16.5,18.5,1.171,0.01584,-0.01584,0.02423,-0.02647
19.5,18.5,20.5,1.174,0.01841,-0.01841,0.0275,-0.02288
21.5,20.5,22.5,1.189,0.0206,-0.0206,0.01466,-0.03103
23.5,22.5,24.5,1.197,0.01925,-0.01925,0.02809,-0.02669
27.5,24.5,30.5,1.207,0.01549,-0.01549,0.01712,-0.02398
33.0,30.5,35.5,1.239,0.02854,-0.02854,0.02667,-0.03003
38.0,35.5,40.5,1.229,0.06098,-0.06098,0.1649,-0.168

