#: table_doi: 10.17182/hepdata.65229.v1/t13
#: name: Table 13
#: description: Transverse $\sum p_T^\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} > 20\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table13.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.047745,0.0,0.09549,0.1517,0.01939,-0.01939,0.01954,-0.01619
0.143245,0.09549,0.191,0.3539,0.02782,-0.02782,0.0999,-0.09688
0.23875,0.191,0.2865,0.4168,0.02778,-0.02778,0.05719,-0.06628
0.33425,0.2865,0.382,0.4588,0.02771,-0.02771,0.04469,-0.03515
0.42974999999999997,0.382,0.4775,0.4976,0.02883,-0.02883,0.0457,-0.04286
0.52525,0.4775,0.573,0.5081,0.03082,-0.03082,0.04387,-0.04217
0.6207499999999999,0.573,0.6685,0.5194,0.03071,-0.03071,0.03037,-0.02459
0.7162,0.6685,0.7639,0.5424,0.03132,-0.03132,0.02482,-0.03011
0.81165,0.7639,0.8594,0.5509,0.03302,-0.03302,0.03639,-0.04324
0.90715,0.8594,0.9549,0.5579,0.03431,-0.03431,0.02524,-0.03323
1.00245,0.9549,1.05,0.5381,0.03432,-0.03432,0.02869,-0.03012
1.0979999999999999,1.05,1.146,0.485,0.03065,-0.03065,0.02077,-0.02597
1.1935,1.146,1.241,0.4494,0.02901,-0.02901,0.01551,-0.02211
1.2890000000000001,1.241,1.337,0.4111,0.02761,-0.02761,0.02511,-0.02718
1.3845,1.337,1.432,0.3717,0.02641,-0.02641,0.03893,-0.03905
1.6709999999999998,1.432,1.91,0.2936,0.01055,-0.01055,0.02387,-0.02394
2.1485,1.91,2.387,0.1938,0.009094,-0.009094,0.01901,-0.01912
3.3419999999999996,2.387,4.297,0.05428,0.002444,-0.002444,0.009866,-0.008172

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.047745,0.0,0.09549,0.1135,0.04055,-0.04055,0.04858,-0.04702
0.143245,0.09549,0.191,0.354,0.07073,-0.07073,0.06723,-0.06525
0.23875,0.191,0.2865,0.3958,0.059,-0.059,0.03834,-0.02705
0.33425,0.2865,0.382,0.4567,0.06252,-0.06252,0.06567,-0.06525
0.42974999999999997,0.382,0.4775,0.6011,0.08569,-0.08569,0.03401,-0.06707
0.52525,0.4775,0.573,0.6096,0.09073,-0.09073,0.08222,-0.07456
0.6207499999999999,0.573,0.6685,0.5817,0.08433,-0.08433,0.06651,-0.03759
0.7162,0.6685,0.7639,0.6124,0.0931,-0.0931,0.04704,-0.06969
0.81165,0.7639,0.8594,0.6036,0.08735,-0.08735,0.04082,-0.04435
0.90715,0.8594,0.9549,0.5842,0.1024,-0.1024,0.05099,-0.05523
1.00245,0.9549,1.05,0.5491,0.08036,-0.08036,0.03339,-0.03676
1.0979999999999999,1.05,1.146,0.5134,0.08689,-0.08689,0.0405,-0.04219
1.1935,1.146,1.241,0.4722,0.08631,-0.08631,0.01475,-0.02956
1.2890000000000001,1.241,1.337,0.4295,0.06787,-0.06787,0.0112,-0.02524
1.3845,1.337,1.432,0.3729,0.0719,-0.0719,0.04184,-0.04447
1.6709999999999998,1.432,1.91,0.2847,0.02423,-0.02423,0.03443,-0.0331
2.1485,1.91,2.387,0.1766,0.02349,-0.02349,0.01621,-0.01675
3.3419999999999996,2.387,4.297,0.03888,0.004492,-0.004492,0.01022,-0.009442

