#: table_doi: 10.17182/hepdata.65229.v1/t16
#: name: Table 16
#: description: Transverse $\sum p_T^\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [20, 60]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table16.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.047745,0.0,0.09549,0.1522,0.01964,-0.01964,0.0199,-0.01643
0.143245,0.09549,0.191,0.3537,0.02822,-0.02822,0.1001,-0.09687
0.23875,0.191,0.2865,0.4172,0.0282,-0.0282,0.05752,-0.06683
0.33425,0.2865,0.382,0.4602,0.02815,-0.02815,0.04548,-0.03619
0.42974999999999997,0.382,0.4775,0.4988,0.02926,-0.02926,0.04659,-0.04395
0.52525,0.4775,0.573,0.5088,0.03127,-0.03127,0.04464,-0.04304
0.6207499999999999,0.573,0.6685,0.52,0.03126,-0.03126,0.03078,-0.02483
0.7162,0.6685,0.7639,0.543,0.03178,-0.03178,0.02515,-0.03059
0.81165,0.7639,0.8594,0.5514,0.03352,-0.03352,0.03667,-0.04357
0.90715,0.8594,0.9549,0.5584,0.03477,-0.03477,0.02507,-0.03315
1.00245,0.9549,1.05,0.5386,0.03494,-0.03494,0.02883,-0.03029
1.0979999999999999,1.05,1.146,0.4854,0.03114,-0.03114,0.02102,-0.02614
1.1935,1.146,1.241,0.45,0.0294,-0.0294,0.01551,-0.0221
1.2890000000000001,1.241,1.337,0.4115,0.02806,-0.02806,0.02509,-0.02711
1.3845,1.337,1.432,0.3718,0.02682,-0.02682,0.03896,-0.03903
1.6709999999999998,1.432,1.91,0.2936,0.01071,-0.01071,0.02436,-0.02442
2.1485,1.91,2.387,0.194,0.009242,-0.009242,0.01964,-0.01978
3.3419999999999996,2.387,4.297,0.05413,0.002489,-0.002489,0.009969,-0.008285

#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.047745,0.0,0.09549,0.1133,0.04216,-0.04216,0.04837,-0.04667
0.143245,0.09549,0.191,0.3513,0.07335,-0.07335,0.06714,-0.06436
0.23875,0.191,0.2865,0.3921,0.06126,-0.06126,0.03969,-0.02726
0.33425,0.2865,0.382,0.4572,0.06599,-0.06599,0.06395,-0.06681
0.42974999999999997,0.382,0.4775,0.6048,0.08879,-0.08879,0.03429,-0.06997
0.52525,0.4775,0.573,0.6137,0.09514,-0.09514,0.08759,-0.08103
0.6207499999999999,0.573,0.6685,0.5842,0.08856,-0.08856,0.07034,-0.04187
0.7162,0.6685,0.7639,0.615,0.0981,-0.0981,0.05169,-0.07374
0.81165,0.7639,0.8594,0.6048,0.09046,-0.09046,0.0421,-0.04444
0.90715,0.8594,0.9549,0.5845,0.1072,-0.1072,0.0514,-0.05585
1.00245,0.9549,1.05,0.5486,0.08416,-0.08416,0.03376,-0.03674
1.0979999999999999,1.05,1.146,0.514,0.0911,-0.0911,0.04145,-0.04272
1.1935,1.146,1.241,0.4732,0.09036,-0.09036,0.01593,-0.03158
1.2890000000000001,1.241,1.337,0.4305,0.07008,-0.07008,0.01127,-0.0251
1.3845,1.337,1.432,0.3729,0.07499,-0.07499,0.04378,-0.04522
1.6709999999999998,1.432,1.91,0.2848,0.02531,-0.02531,0.03578,-0.03403
2.1485,1.91,2.387,0.1765,0.02438,-0.02438,0.01638,-0.0174
3.3419999999999996,2.387,4.297,0.03845,0.004652,-0.004652,0.0101,-0.009605

