#: table_doi: 10.17182/hepdata.65229.v1/t17
#: name: Table 17
#: description: Trans-max $\sum p_T^\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [20, 60]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table17.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.1134,0.012,-0.012,0.01534,-0.01314
0.2865,0.191,0.382,0.2806,0.01691,-0.01691,0.0385,-0.03477
0.4775,0.382,0.573,0.3671,0.01863,-0.01863,0.05543,-0.06046
0.66845,0.573,0.7639,0.3976,0.01911,-0.01911,0.03852,-0.03331
0.8593999999999999,0.7639,0.9549,0.4261,0.02042,-0.02042,0.02478,-0.02241
1.0504499999999999,0.9549,1.146,0.428,0.02097,-0.02097,0.02869,-0.02636
1.2414999999999998,1.146,1.337,0.4282,0.02032,-0.02032,0.02268,-0.01927
1.4325,1.337,1.528,0.4077,0.02081,-0.02081,0.009211,-0.009323
1.6235,1.528,1.719,0.3534,0.01897,-0.01897,0.01092,-0.01378
1.8145,1.719,1.91,0.3063,0.01692,-0.01692,0.01717,-0.02063
2.0055,1.91,2.101,0.2558,0.01541,-0.01541,0.01822,-0.02024
2.1965,2.101,2.292,0.2252,0.01462,-0.01462,0.02283,-0.02253
2.3875,2.292,2.483,0.2058,0.01511,-0.01511,0.01909,-0.02066
2.5785,2.483,2.674,0.1833,0.01441,-0.01441,0.01327,-0.01614
2.7695,2.674,2.865,0.1559,0.01323,-0.01323,0.01114,-0.01406
3.3425000000000002,2.865,3.82,0.08932,0.004513,-0.004513,0.009757,-0.0103
4.2975,3.82,4.775,0.03013,0.00236,-0.00236,0.009929,-0.006836

#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.07859,0.02241,-0.02241,0.03354,-0.0328
0.2865,0.191,0.382,0.2681,0.04064,-0.04064,0.03926,-0.03351
0.4775,0.382,0.573,0.3729,0.04377,-0.04377,0.04966,-0.02586
0.66845,0.573,0.7639,0.4667,0.05803,-0.05803,0.04414,-0.06178
0.8593999999999999,0.7639,0.9549,0.5032,0.06444,-0.06444,0.03939,-0.05228
1.0504499999999999,0.9549,1.146,0.4731,0.05603,-0.05603,0.04368,-0.01959
1.2414999999999998,1.146,1.337,0.4702,0.05799,-0.05799,0.03708,-0.04387
1.4325,1.337,1.528,0.4494,0.06597,-0.06597,0.036,-0.0402
1.6235,1.528,1.719,0.3676,0.0515,-0.0515,0.03777,-0.0451
1.8145,1.719,1.91,0.2885,0.03829,-0.03829,0.02626,-0.03643
2.0055,1.91,2.101,0.2362,0.03187,-0.03187,0.04043,-0.04048
2.1965,2.101,2.292,0.2086,0.03396,-0.03396,0.03305,-0.02863
2.3875,2.292,2.483,0.1937,0.03677,-0.03677,0.02278,-0.02426
2.5785,2.483,2.674,0.1644,0.03487,-0.03487,0.01199,-0.01432
2.7695,2.674,2.865,0.1314,0.02765,-0.02765,0.01665,-0.02504
3.3425000000000002,2.865,3.82,0.0661,0.01032,-0.01032,0.01796,-0.007543
4.2975,3.82,4.775,0.02337,0.00487,-0.00487,0.01104,-0.007152

