#: table_doi: 10.17182/hepdata.65229.v1/t18
#: name: Table 18
#: description: Trans-min $\sum p_T^\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [20, 60]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table18.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.4455,0.03253,-0.03253,0.02865,-0.03106
0.2865,0.191,0.382,0.6558,0.02596,-0.02596,0.06296,-0.05193
0.4775,0.382,0.573,0.6401,0.02437,-0.02437,0.02295,-0.02526
0.66845,0.573,0.7639,0.5838,0.02479,-0.02479,0.02012,-0.01968
0.8593999999999999,0.7639,0.9549,0.493,0.02245,-0.02245,0.01415,-0.01376
1.0504499999999999,0.9549,1.146,0.3966,0.02007,-0.02007,0.02859,-0.02847
1.2414999999999998,1.146,1.337,0.3355,0.018,-0.018,0.04252,-0.04297
1.4325,1.337,1.528,0.2757,0.01659,-0.01659,0.03165,-0.03262
1.6235,1.528,1.719,0.2253,0.01584,-0.01584,0.01984,-0.02097
1.8145,1.719,1.91,0.178,0.01411,-0.01411,0.01331,-0.01396
2.0055,1.91,2.101,0.1336,0.01263,-0.01263,0.01243,-0.01115
2.1965,2.101,2.292,0.1011,0.01151,-0.01151,0.01062,-0.009971
2.3875,2.292,2.483,0.07622,0.01026,-0.01026,0.008569,-0.007568
2.5785,2.483,2.674,0.05975,0.007949,-0.007949,0.01058,-0.009785
2.7695,2.674,2.865,0.04615,0.007414,-0.007414,0.007323,-0.006298
3.3425000000000002,2.865,3.82,0.01985,0.00214,-0.00214,0.004974,-0.003459

#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.538,0.09889,-0.09889,0.08781,-0.08755
0.2865,0.191,0.382,0.6261,0.06161,-0.06161,0.05369,-0.06275
0.4775,0.382,0.573,0.5986,0.06098,-0.06098,0.08369,-0.07293
0.66845,0.573,0.7639,0.6268,0.06607,-0.06607,0.008138,-0.01202
0.8593999999999999,0.7639,0.9549,0.5563,0.06304,-0.06304,0.06773,-0.07403
1.0504499999999999,0.9549,1.146,0.4312,0.06272,-0.06272,0.02076,-0.02096
1.2414999999999998,1.146,1.337,0.3431,0.05094,-0.05094,0.01563,-0.01275
1.4325,1.337,1.528,0.254,0.03491,-0.03491,0.04403,-0.03843
1.6235,1.528,1.719,0.1932,0.03769,-0.03769,0.04178,-0.03983
1.8145,1.719,1.91,0.1365,0.02562,-0.02562,0.03323,-0.03164
2.0055,1.91,2.101,0.09726,0.02293,-0.02293,0.02369,-0.02286
2.1965,2.101,2.292,0.07715,0.02234,-0.02234,0.01915,-0.0207
2.3875,2.292,2.483,0.05856,0.01906,-0.01906,0.008008,-0.01105
2.5785,2.483,2.674,0.04309,0.01492,-0.01492,0.00474,-0.01159
2.7695,2.674,2.865,0.03408,0.01484,-0.01484,0.006021,-0.007455
3.3425000000000002,2.865,3.82,0.01581,0.004558,-0.004558,0.005204,-0.00359

