#: table_doi: 10.17182/hepdata.65229.v1/t19
#: name: Table 19
#: description: Transverse $\sum p_T^\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [60,210]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table19.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.047745,0.0,0.09549,0.1135,0.02787,-0.02787,0.03116,-0.03153
0.143245,0.09549,0.191,0.3613,0.04803,-0.04803,0.09003,-0.09956
0.23875,0.191,0.2865,0.3926,0.04811,-0.04811,0.04958,-0.04178
0.33425,0.2865,0.382,0.36,0.03783,-0.03783,0.04978,-0.03802
0.42974999999999997,0.382,0.4775,0.4034,0.04658,-0.04658,0.07214,-0.04369
0.52525,0.4775,0.573,0.4612,0.04698,-0.04698,0.02281,-0.01791
0.6207499999999999,0.573,0.6685,0.487,0.04944,-0.04944,0.0262,-0.02288
0.7162,0.6685,0.7639,0.4985,0.05304,-0.05304,0.02832,-0.0273
0.81165,0.7639,0.8594,0.5118,0.0576,-0.0576,0.03582,-0.04064
0.90715,0.8594,0.9549,0.5274,0.05877,-0.05877,0.05727,-0.06675
1.00245,0.9549,1.05,0.5004,0.05303,-0.05303,0.02869,-0.03351
1.0979999999999999,1.05,1.146,0.4602,0.04946,-0.04946,0.01574,-0.02069
1.1935,1.146,1.241,0.414,0.05168,-0.05168,0.01611,-0.02564
1.2890000000000001,1.241,1.337,0.3822,0.04633,-0.04633,0.03548,-0.04125
1.3845,1.337,1.432,0.3669,0.04568,-0.04568,0.05024,-0.0521
1.6709999999999998,1.432,1.91,0.2939,0.01796,-0.01796,0.01623,-0.01743
2.1485,1.91,2.387,0.1906,0.0151,-0.0151,0.01023,-0.006309
3.3419999999999996,2.387,4.297,0.06604,0.004416,-0.004416,0.008353,-0.006444

#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.047745,0.0,0.09549,0.1011,0.03836,-0.03836,0.03826,-0.03884
0.143245,0.09549,0.191,0.3693,0.06654,-0.06654,0.07791,-0.1091
0.23875,0.191,0.2865,0.4615,0.08517,-0.08517,0.1032,-0.1107
0.33425,0.2865,0.382,0.4141,0.06292,-0.06292,0.09125,-0.02463
0.42974999999999997,0.382,0.4775,0.4827,0.08553,-0.08553,0.07651,-0.03065
0.52525,0.4775,0.573,0.4968,0.07178,-0.07178,0.04809,-0.01107
0.6207499999999999,0.573,0.6685,0.5145,0.07742,-0.07742,0.03252,-0.02915
0.7162,0.6685,0.7639,0.5463,0.0888,-0.0888,0.04399,-0.04845
0.81165,0.7639,0.8594,0.5795,0.102,-0.102,0.04438,-0.06761
0.90715,0.8594,0.9549,0.5943,0.09239,-0.09239,0.0877,-0.08808
1.00245,0.9549,1.05,0.5765,0.09337,-0.09337,0.03649,-0.05001
1.0979999999999999,1.05,1.146,0.5027,0.08728,-0.08728,0.036,-0.04176
1.1935,1.146,1.241,0.4554,0.08848,-0.08848,0.02333,-0.03224
1.2890000000000001,1.241,1.337,0.411,0.07689,-0.07689,0.04192,-0.04952
1.3845,1.337,1.432,0.3784,0.07171,-0.07171,0.06847,-0.07082
1.6709999999999998,1.432,1.91,0.2924,0.02806,-0.02806,0.03009,-0.04054
2.1485,1.91,2.387,0.1851,0.02523,-0.02523,0.02492,-0.01833
3.3419999999999996,2.387,4.297,0.0521,0.007168,-0.007168,0.01601,-0.00809

