#: table_doi: 10.17182/hepdata.65229.v1/t2
#: name: Table 2
#: description: Trans-max $\langle \sum p_T^\text{ch} / \delta\eta\,\delta\phi \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 2.5$ in incl jet / excl dijet events.

#: data_file: Table2.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum p_T^\text{ch} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.528,0.002625,-0.002625,0.06858,-0.06254
35.0,30.0,40.0,1.574,0.006846,-0.006846,0.0854,-0.08445
50.0,40.0,60.0,1.639,0.01173,-0.01173,0.1755,-0.04779
70.0,60.0,80.0,1.802,0.00639,-0.00639,0.08928,-0.06939
95.0,80.0,110.0,2.006,0.01357,-0.01357,0.1755,-0.08135
135.0,110.0,160.0,2.256,0.009516,-0.009516,0.1553,-0.08899
185.0,160.0,210.0,2.584,0.01611,-0.01611,0.1926,-0.1109
235.0,210.0,260.0,2.968,0.02395,-0.02395,0.2217,-0.1515
285.0,260.0,310.0,3.093,0.04851,-0.04851,0.3498,-0.1909
355.0,310.0,400.0,3.363,0.04399,-0.04399,0.3121,-0.1853
600.0,400.0,800.0,3.993,0.1138,-0.1138,0.529,-0.2966

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum p_T^\text{ch} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.505,0.008962,-0.008962,0.1215,-0.1075
35.0,30.0,40.0,1.488,0.01029,-0.01029,0.08662,-0.0638
50.0,40.0,60.0,1.459,0.01475,-0.01475,0.1038,-0.1104
70.0,60.0,80.0,1.505,0.007009,-0.007009,0.06503,-0.06034
95.0,80.0,110.0,1.516,0.01349,-0.01349,0.07014,-0.07654
135.0,110.0,160.0,1.522,0.008533,-0.008533,0.06367,-0.05958
185.0,160.0,210.0,1.485,0.01262,-0.01262,0.0596,-0.05532
235.0,210.0,260.0,1.483,0.01688,-0.01688,0.0529,-0.07364
285.0,260.0,310.0,1.453,0.03563,-0.03563,0.1963,-0.2655
355.0,310.0,400.0,1.45,0.02742,-0.02742,0.07969,-0.04153
600.0,400.0,800.0,1.432,0.05844,-0.05844,0.07277,-0.09421

