#: table_doi: 10.17182/hepdata.65229.v1/t21
#: name: Table 21
#: description: Trans-min $\sum p_T^\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [60,210]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table21.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.4185,0.0518,-0.0518,0.06833,-0.04993
0.2865,0.191,0.382,0.6708,0.04373,-0.04373,0.02629,-0.06328
0.4775,0.382,0.573,0.6901,0.04662,-0.04662,0.03925,-0.04459
0.66845,0.573,0.7639,0.5736,0.04007,-0.04007,0.02932,-0.02274
0.8593999999999999,0.7639,0.9549,0.4442,0.03495,-0.03495,0.03189,-0.03076
1.0504499999999999,0.9549,1.146,0.3601,0.03038,-0.03038,0.06455,-0.06609
1.2414999999999998,1.146,1.337,0.2961,0.02766,-0.02766,0.04671,-0.04694
1.4325,1.337,1.528,0.2546,0.02839,-0.02839,0.0245,-0.02234
1.6235,1.528,1.719,0.2181,0.02685,-0.02685,0.00631,-0.00906
1.8145,1.719,1.91,0.1711,0.02111,-0.02111,0.008688,-0.007131
2.0055,1.91,2.101,0.1323,0.02128,-0.02128,0.01057,-0.009399
2.1965,2.101,2.292,0.1069,0.01888,-0.01888,0.00754,-0.01411
2.3875,2.292,2.483,0.08316,0.01587,-0.01587,0.004875,-0.01185
2.5785,2.483,2.674,0.065,0.01532,-0.01532,0.01027,-0.01075
2.7695,2.674,2.865,0.05338,0.01371,-0.01371,0.014,-0.01414
3.3425000000000002,2.865,3.82,0.02666,0.004556,-0.004556,0.00641,-0.004687

#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.4443,0.08681,-0.08681,0.04782,-0.02557
0.2865,0.191,0.382,0.6744,0.06117,-0.06117,0.03856,-0.07859
0.4775,0.382,0.573,0.7185,0.07617,-0.07617,0.02478,-0.03213
0.66845,0.573,0.7639,0.6364,0.07028,-0.07028,0.03678,-0.02741
0.8593999999999999,0.7639,0.9549,0.4936,0.05934,-0.05934,0.03828,-0.03092
1.0504499999999999,0.9549,1.146,0.3742,0.05242,-0.05242,0.04625,-0.04765
1.2414999999999998,1.146,1.337,0.2739,0.04192,-0.04192,0.05864,-0.06153
1.4325,1.337,1.528,0.2162,0.04312,-0.04312,0.03721,-0.03907
1.6235,1.528,1.719,0.1727,0.03708,-0.03708,0.03312,-0.03283
1.8145,1.719,1.91,0.1413,0.02864,-0.02864,0.03995,-0.03779
2.0055,1.91,2.101,0.1135,0.03309,-0.03309,0.01945,-0.01316
2.1965,2.101,2.292,0.1026,0.02963,-0.02963,0.01396,-0.0124
2.3875,2.292,2.483,0.08403,0.02539,-0.02539,0.008207,-0.005544
2.5785,2.483,2.674,0.07547,0.03285,-0.03285,0.0284,-0.02898
2.7695,2.674,2.865,0.06056,0.02585,-0.02585,0.02843,-0.02102
3.3425000000000002,2.865,3.82,0.02789,0.009195,-0.009195,0.008449,-0.01313

