#: table_doi: 10.17182/hepdata.65229.v1/t23
#: name: Table 23
#: description: Trans-max $\sum p_T^\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} > 210\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table23.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.1427,0.02579,-0.02579,0.02118,-0.02002
0.2865,0.191,0.382,0.228,0.01951,-0.01951,0.01488,-0.021
0.4775,0.382,0.573,0.2453,0.02087,-0.02087,0.02282,-0.01514
0.66845,0.573,0.7639,0.2671,0.02145,-0.02145,0.0163,-0.01683
0.8593999999999999,0.7639,0.9549,0.3041,0.02284,-0.02284,0.0146,-0.02749
1.0504499999999999,0.9549,1.146,0.3151,0.02398,-0.02398,0.02143,-0.02183
1.2414999999999998,1.146,1.337,0.2804,0.02261,-0.02261,0.0155,-0.008224
1.4325,1.337,1.528,0.2547,0.02105,-0.02105,0.01942,-0.01757
1.6235,1.528,1.719,0.2301,0.01921,-0.01921,0.02065,-0.02026
1.8145,1.719,1.91,0.2177,0.01775,-0.01775,0.02069,-0.02117
2.0055,1.91,2.101,0.2069,0.01805,-0.01805,0.003829,-0.006211
2.1965,2.101,2.292,0.1853,0.01898,-0.01898,0.009749,-0.01198
2.3875,2.292,2.483,0.1667,0.01647,-0.01647,0.01737,-0.01681
2.5785,2.483,2.674,0.1515,0.01717,-0.01717,0.01186,-0.009662
2.7695,2.674,2.865,0.1353,0.01217,-0.01217,0.01157,-0.01108
3.3425000000000002,2.865,3.82,0.1029,0.00611,-0.00611,0.001358,-0.002791
4.2975,3.82,4.775,0.06571,0.004738,-0.004738,0.001041,-0.003584

#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.3746,0.1082,-0.1082,0.1282,-0.1287
0.2865,0.191,0.382,0.395,0.05537,-0.05537,0.02484,-0.03074
0.4775,0.382,0.573,0.4211,0.06808,-0.06808,0.07295,-0.05948
0.66845,0.573,0.7639,0.3661,0.04679,-0.04679,0.02356,-0.03769
0.8593999999999999,0.7639,0.9549,0.3759,0.05387,-0.05387,0.04326,-0.05705
1.0504499999999999,0.9549,1.146,0.3899,0.06036,-0.06036,0.04709,-0.02648
1.2414999999999998,1.146,1.337,0.3809,0.04858,-0.04858,0.01688,-0.01427
1.4325,1.337,1.528,0.3528,0.05844,-0.05844,0.0168,-0.009702
1.6235,1.528,1.719,0.3267,0.05964,-0.05964,0.052,-0.03547
1.8145,1.719,1.91,0.2942,0.05012,-0.05012,0.02227,-0.03529
2.0055,1.91,2.101,0.2299,0.04111,-0.04111,0.03334,-0.04993
2.1965,2.101,2.292,0.171,0.0343,-0.0343,0.05269,-0.05112
2.3875,2.292,2.483,0.1366,0.02502,-0.02502,0.05198,-0.04794
2.5785,2.483,2.674,0.1283,0.02622,-0.02622,0.03854,-0.03719
2.7695,2.674,2.865,0.1217,0.01874,-0.01874,0.02998,-0.02836
3.3425000000000002,2.865,3.82,0.08341,0.0133,-0.0133,0.002336,-0.006896
4.2975,3.82,4.775,0.02673,0.006486,-0.006486,0.003515,-0.005883

