#: table_doi: 10.17182/hepdata.65229.v1/t24
#: name: Table 24
#: description: Trans-min $\sum p_T^\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} > 210\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table24.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.4912,0.0502,-0.0502,0.01649,-0.04631
0.2865,0.191,0.382,0.6593,0.03386,-0.03386,0.06617,-0.03864
0.4775,0.382,0.573,0.6033,0.03287,-0.03287,0.02586,-0.0155
0.66845,0.573,0.7639,0.5038,0.02957,-0.02957,0.01868,-0.03451
0.8593999999999999,0.7639,0.9549,0.4247,0.02827,-0.02827,0.02252,-0.02318
1.0504499999999999,0.9549,1.146,0.3677,0.02523,-0.02523,0.02685,-0.0314
1.2414999999999998,1.146,1.337,0.2839,0.02123,-0.02123,0.02193,-0.02219
1.4325,1.337,1.528,0.2306,0.01827,-0.01827,0.0304,-0.03015
1.6235,1.528,1.719,0.1906,0.02016,-0.02016,0.01065,-0.01367
1.8145,1.719,1.91,0.1493,0.01699,-0.01699,0.008198,-0.01754
2.0055,1.91,2.101,0.117,0.01652,-0.01652,0.01322,-0.0108
2.1965,2.101,2.292,0.09414,0.01362,-0.01362,0.01342,-0.006179
2.3875,2.292,2.483,0.07625,0.01034,-0.01034,0.009932,-0.004985
2.5785,2.483,2.674,0.06674,0.01043,-0.01043,0.005468,-0.004036
2.7695,2.674,2.865,0.05358,0.009511,-0.009511,0.002831,-0.0007709
3.3425000000000002,2.865,3.82,0.03149,0.003693,-0.003693,0.003505,-0.003427

#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV),$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) LOW,$\sum p_T^\text{ch} / \delta\eta \delta\phi$ (GeV) HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}\sum p_T^\text{ch} / \delta\eta \delta\phi)$ (GeV$^{-1}$)",stat +,stat -,sys +,sys -
0.0955,0.0,0.191,0.7259,0.1675,-0.1675,0.07128,-0.07302
0.2865,0.191,0.382,0.7545,0.08821,-0.08821,0.1293,-0.09774
0.4775,0.382,0.573,0.5813,0.07276,-0.07276,0.01224,-0.03707
0.66845,0.573,0.7639,0.4744,0.05271,-0.05271,0.07531,-0.07907
0.8593999999999999,0.7639,0.9549,0.3877,0.04997,-0.04997,0.06249,-0.05993
1.0504499999999999,0.9549,1.146,0.3522,0.04727,-0.04727,0.05716,-0.06743
1.2414999999999998,1.146,1.337,0.236,0.04119,-0.04119,0.03294,-0.03552
1.4325,1.337,1.528,0.1767,0.03831,-0.03831,0.06961,-0.06649
1.6235,1.528,1.719,0.1341,0.0199,-0.0199,0.05075,-0.04276
1.8145,1.719,1.91,0.1061,0.03252,-0.03252,0.01287,-0.02867
2.0055,1.91,2.101,0.07956,0.04062,-0.04062,0.0119,-0.01852
2.1965,2.101,2.292,0.04966,0.01586,-0.01586,0.03188,-0.01411
2.3875,2.292,2.483,0.02812,0.007018,-0.007018,0.01987,-0.006091
2.5785,2.483,2.674,0.01924,0.008286,-0.008286,0.01609,-0.01021
2.7695,2.674,2.865,0.01229,0.00167,-0.00167,0.01395,-0.01048
3.3425000000000002,2.865,3.82,0.006294,0.001915,-0.001915,0.01068,-0.003079

