#: table_doi: 10.17182/hepdata.65229.v1/t25
#: name: Table 25
#: description: Transverse $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} > 20\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table25.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.095475,0.04775,0.1432,0.2274,0.01633,-0.01633,0.01782,-0.01945
0.19095,0.1432,0.2387,0.3704,0.0307,-0.0307,0.1634,-0.1123
0.28645,0.2387,0.3342,0.4725,0.04091,-0.04091,0.07294,-0.06741
0.38195,0.3342,0.4297,0.5474,0.03179,-0.03179,0.07493,-0.1011
0.47745000000000004,0.4297,0.5252,0.6089,0.03247,-0.03247,0.06058,-0.08342
0.5729500000000001,0.5252,0.6207,0.6255,0.03317,-0.03317,0.109,-0.1459
0.66845,0.6207,0.7162,0.6515,0.03626,-0.03626,0.1655,-0.1095
0.7639499999999999,0.7162,0.8117,0.6487,0.04274,-0.04274,0.1002,-0.0588
0.85945,0.8117,0.9072,0.6278,0.03666,-0.03666,0.03569,-0.03415
0.9551,0.9072,1.003,0.5981,0.03395,-0.03395,0.02652,-0.039
1.0985,1.003,1.194,0.5485,0.02281,-0.02281,0.004293,-0.01912
1.2894999999999999,1.194,1.385,0.4735,0.02338,-0.02338,0.01244,-0.0123
1.4805000000000001,1.385,1.576,0.3766,0.01835,-0.01835,0.02532,-0.02475
1.6715,1.576,1.767,0.3107,0.0179,-0.0179,0.04666,-0.04623
1.8624999999999998,1.767,1.958,0.2363,0.01593,-0.01593,0.04412,-0.04259
2.1965,1.958,2.435,0.1392,0.007076,-0.007076,0.03563,-0.03399
2.674,2.435,2.913,0.05353,0.003999,-0.003999,0.02116,-0.02001
3.1515,2.913,3.39,0.02114,0.002451,-0.002451,0.009771,-0.008961
3.6285,3.39,3.867,0.007846,0.00146,-0.00146,0.00394,-0.004061

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.095475,0.04775,0.1432,0.1706,0.0298,-0.0298,0.05267,-0.0526
0.19095,0.1432,0.2387,0.4008,0.07272,-0.07272,0.07698,-0.08438
0.28645,0.2387,0.3342,0.5071,0.11,-0.11,0.1175,-0.1232
0.38195,0.3342,0.4297,0.5646,0.08046,-0.08046,0.1181,-0.07148
0.47745000000000004,0.4297,0.5252,0.6411,0.08052,-0.08052,0.07999,-0.09314
0.5729500000000001,0.5252,0.6207,0.6743,0.08851,-0.08851,0.1328,-0.1617
0.66845,0.6207,0.7162,0.6701,0.08988,-0.08988,0.1884,-0.0928
0.7639499999999999,0.7162,0.8117,0.6555,0.1158,-0.1158,0.1067,-0.0669
0.85945,0.8117,0.9072,0.6548,0.0996,-0.0996,0.04207,-0.05198
0.9551,0.9072,1.003,0.647,0.09824,-0.09824,0.0278,-0.04485
1.0985,1.003,1.194,0.6221,0.07043,-0.07043,0.08261,-0.08731
1.2894999999999999,1.194,1.385,0.5396,0.07089,-0.07089,0.04647,-0.03772
1.4805000000000001,1.385,1.576,0.4018,0.05213,-0.05213,0.02671,-0.02738
1.6715,1.576,1.767,0.2708,0.03687,-0.03687,0.04352,-0.04281
1.8624999999999998,1.767,1.958,0.1718,0.02642,-0.02642,0.06045,-0.05794
2.1965,1.958,2.435,0.08532,0.01017,-0.01017,0.04982,-0.04791
2.674,2.435,2.913,0.04126,0.006171,-0.006171,0.02825,-0.02639
3.1515,2.913,3.39,0.0213,0.005089,-0.005089,0.01462,-0.0156
3.6285,3.39,3.867,0.007773,0.003012,-0.003012,0.004792,-0.006049

