#: table_doi: 10.17182/hepdata.65229.v1/t26
#: name: Table 26
#: description: Trans-max $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} > 20\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table26.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.1969,0.01146,-0.01146,0.02047,-0.02588
0.382,0.2865,0.4775,0.3634,0.02322,-0.02322,0.1849,-0.1259
0.573,0.4775,0.6685,0.4677,0.02693,-0.02693,0.08001,-0.05915
0.76395,0.6685,0.8594,0.5199,0.02179,-0.02179,0.04672,-0.09897
0.9547000000000001,0.8594,1.05,0.5348,0.02171,-0.02171,0.03862,-0.07773
1.1455000000000002,1.05,1.241,0.513,0.02143,-0.02143,0.08458,-0.1018
1.3365,1.241,1.432,0.4872,0.02275,-0.02275,0.1,-0.04094
1.5274999999999999,1.432,1.623,0.4428,0.02304,-0.02304,0.029,-0.0103
1.7185000000000001,1.623,1.814,0.379,0.02067,-0.02067,0.03563,-0.04287
1.9095,1.814,2.005,0.31,0.01703,-0.01703,0.03043,-0.04977
2.1959999999999997,2.005,2.387,0.223,0.01012,-0.01012,0.03261,-0.03769
2.5780000000000003,2.387,2.769,0.1285,0.007474,-0.007474,0.03511,-0.03227
2.96,2.769,3.151,0.06804,0.005031,-0.005031,0.0272,-0.0227
3.3419999999999996,3.151,3.533,0.03727,0.003764,-0.003764,0.01785,-0.01434
3.724,3.533,3.915,0.01951,0.00243,-0.00243,0.009087,-0.007642

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.1604,0.02283,-0.02283,0.02827,-0.03079
0.382,0.2865,0.4775,0.3815,0.05978,-0.05978,0.1826,-0.164
0.573,0.4775,0.6685,0.474,0.06127,-0.06127,0.08413,-0.04946
0.76395,0.6685,0.8594,0.5375,0.05598,-0.05598,0.07217,-0.0969
0.9547000000000001,0.8594,1.05,0.5601,0.05705,-0.05705,0.04487,-0.07149
1.1455000000000002,1.05,1.241,0.5667,0.06699,-0.06699,0.1006,-0.1213
1.3365,1.241,1.432,0.5491,0.06851,-0.06851,0.1111,-0.09687
1.5274999999999999,1.432,1.623,0.4849,0.06464,-0.06464,0.04814,-0.04446
1.7185000000000001,1.623,1.814,0.4015,0.05812,-0.05812,0.03533,-0.0237
1.9095,1.814,2.005,0.2966,0.04185,-0.04185,0.03992,-0.04258
2.1959999999999997,2.005,2.387,0.1888,0.0208,-0.0208,0.05934,-0.06018
2.5780000000000003,2.387,2.769,0.09305,0.01378,-0.01378,0.04692,-0.04524
2.96,2.769,3.151,0.04996,0.007343,-0.007343,0.02915,-0.02833
3.3419999999999996,3.151,3.533,0.02695,0.005344,-0.005344,0.01576,-0.01534
3.724,3.533,3.915,0.01619,0.00421,-0.00421,0.009579,-0.009477

