#: table_doi: 10.17182/hepdata.65229.v1/t28
#: name: Table 28
#: description: Transverse $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [20, 60]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table28.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.095475,0.04775,0.1432,0.228,0.01656,-0.01656,0.01791,-0.01951
0.19095,0.1432,0.2387,0.3713,0.03114,-0.03114,0.1644,-0.1133
0.28645,0.2387,0.3342,0.4731,0.04172,-0.04172,0.074,-0.0687
0.38195,0.3342,0.4297,0.5481,0.03234,-0.03234,0.07646,-0.1022
0.47745000000000004,0.4297,0.5252,0.6095,0.03298,-0.03298,0.06327,-0.08533
0.5729500000000001,0.5252,0.6207,0.6253,0.0337,-0.0337,0.1103,-0.1469
0.66845,0.6207,0.7162,0.6512,0.03694,-0.03694,0.1664,-0.1108
0.7639499999999999,0.7162,0.8117,0.6481,0.04337,-0.04337,0.1008,-0.0604
0.85945,0.8117,0.9072,0.6271,0.03715,-0.03715,0.0366,-0.03514
0.9551,0.9072,1.003,0.5973,0.03455,-0.03455,0.02718,-0.03918
1.0985,1.003,1.194,0.5483,0.02316,-0.02316,0.004265,-0.01911
1.2894999999999999,1.194,1.385,0.474,0.02374,-0.02374,0.01238,-0.0123
1.4805000000000001,1.385,1.576,0.3769,0.01863,-0.01863,0.02578,-0.02508
1.6715,1.576,1.767,0.3111,0.0182,-0.0182,0.0477,-0.0472
1.8624999999999998,1.767,1.958,0.2366,0.01613,-0.01613,0.04509,-0.04354
2.1965,1.958,2.435,0.139,0.007166,-0.007166,0.03645,-0.03483
2.674,2.435,2.913,0.05316,0.004045,-0.004045,0.02157,-0.02039
3.1515,2.913,3.39,0.021,0.002467,-0.002467,0.009994,-0.009197
3.6285,3.39,3.867,0.007811,0.001487,-0.001487,0.004047,-0.004151

#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.095475,0.04775,0.1432,0.1696,0.03086,-0.03086,0.05462,-0.05427
0.19095,0.1432,0.2387,0.4021,0.07494,-0.07494,0.07584,-0.08637
0.28645,0.2387,0.3342,0.5054,0.1179,-0.1179,0.1235,-0.1317
0.38195,0.3342,0.4297,0.5634,0.0843,-0.0843,0.1252,-0.07037
0.47745000000000004,0.4297,0.5252,0.6387,0.08369,-0.08369,0.08389,-0.09628
0.5729500000000001,0.5252,0.6207,0.6707,0.09234,-0.09234,0.1325,-0.1624
0.66845,0.6207,0.7162,0.6675,0.09443,-0.09443,0.1885,-0.09172
0.7639499999999999,0.7162,0.8117,0.6542,0.1202,-0.1202,0.1062,-0.06786
0.85945,0.8117,0.9072,0.6555,0.1032,-0.1032,0.04389,-0.05405
0.9551,0.9072,1.003,0.6489,0.1039,-0.1039,0.02815,-0.04534
1.0985,1.003,1.194,0.6265,0.07351,-0.07351,0.08529,-0.09011
1.2894999999999999,1.194,1.385,0.5459,0.07423,-0.07423,0.04768,-0.0394
1.4805000000000001,1.385,1.576,0.4058,0.05442,-0.05442,0.02821,-0.02877
1.6715,1.576,1.767,0.2717,0.03835,-0.03835,0.04642,-0.04497
1.8624999999999998,1.767,1.958,0.1704,0.02697,-0.02697,0.0627,-0.06013
2.1965,1.958,2.435,0.08302,0.01046,-0.01046,0.05074,-0.04873
2.674,2.435,2.913,0.04034,0.006258,-0.006258,0.02877,-0.02695
3.1515,2.913,3.39,0.02108,0.005145,-0.005145,0.01478,-0.0158
3.6285,3.39,3.867,0.00771,0.003104,-0.003104,0.004966,-0.006176

