#: table_doi: 10.17182/hepdata.65229.v1/t29
#: name: Table 29
#: description: Trans-max $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [20, 60]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table29.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.1975,0.01164,-0.01164,0.02072,-0.02612
0.382,0.2865,0.4775,0.3642,0.02363,-0.02363,0.1862,-0.1276
0.573,0.4775,0.6685,0.468,0.02736,-0.02736,0.08137,-0.06092
0.76395,0.6685,0.8594,0.52,0.02214,-0.02214,0.04704,-0.09913
0.9547000000000001,0.8594,1.05,0.5347,0.02204,-0.02204,0.03959,-0.07818
1.1455000000000002,1.05,1.241,0.5127,0.02176,-0.02176,0.08476,-0.1018
1.3365,1.241,1.432,0.4873,0.02313,-0.02313,0.1003,-0.0411
1.5274999999999999,1.432,1.623,0.4433,0.02342,-0.02342,0.0287,-0.01035
1.7185000000000001,1.623,1.814,0.3797,0.02103,-0.02103,0.0353,-0.04301
1.9095,1.814,2.005,0.3104,0.01726,-0.01726,0.03081,-0.05022
2.1959999999999997,2.005,2.387,0.223,0.01027,-0.01027,0.0333,-0.03834
2.5780000000000003,2.387,2.769,0.1281,0.007554,-0.007554,0.03593,-0.03308
2.96,2.769,3.151,0.06762,0.005103,-0.005103,0.0277,-0.02321
3.3419999999999996,3.151,3.533,0.03702,0.003793,-0.003793,0.01815,-0.01466
3.724,3.533,3.915,0.01932,0.002437,-0.002437,0.009262,-0.007832

#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.16,0.02375,-0.02375,0.02847,-0.03097
0.382,0.2865,0.4775,0.3818,0.06258,-0.06258,0.1832,-0.1688
0.573,0.4775,0.6685,0.4696,0.06308,-0.06308,0.08507,-0.0499
0.76395,0.6685,0.8594,0.5347,0.059,-0.059,0.07353,-0.09499
0.9547000000000001,0.8594,1.05,0.561,0.05953,-0.05953,0.04726,-0.07297
1.1455000000000002,1.05,1.241,0.5706,0.07013,-0.07013,0.1027,-0.124
1.3365,1.241,1.432,0.5539,0.07188,-0.07188,0.1124,-0.09926
1.5274999999999999,1.432,1.623,0.4887,0.06708,-0.06708,0.04925,-0.04565
1.7185000000000001,1.623,1.814,0.4041,0.0616,-0.0616,0.03516,-0.02275
1.9095,1.814,2.005,0.2974,0.04333,-0.04333,0.04175,-0.04354
2.1959999999999997,2.005,2.387,0.1881,0.02145,-0.02145,0.06194,-0.06241
2.5780000000000003,2.387,2.769,0.09136,0.01409,-0.01409,0.04808,-0.04647
2.96,2.769,3.151,0.04875,0.007581,-0.007581,0.02968,-0.02886
3.3419999999999996,3.151,3.533,0.0264,0.005408,-0.005408,0.01603,-0.01563
3.724,3.533,3.915,0.0159,0.004245,-0.004245,0.009737,-0.009628

