#: table_doi: 10.17182/hepdata.65229.v1/t3
#: name: Table 3
#: description: Trans-min $\langle \sum p_T^\text{ch} / \delta\eta\,\delta\phi \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 2.5$ in incl jet / excl dijet events.

#: data_file: Table3.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum p_T^\text{ch} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,0.8272,0.001954,-0.001954,0.03918,-0.03903
35.0,30.0,40.0,0.816,0.004771,-0.004771,0.04248,-0.0411
50.0,40.0,60.0,0.8025,0.007578,-0.007578,0.06963,-0.02447
70.0,60.0,80.0,0.8396,0.003836,-0.003836,0.03993,-0.03713
95.0,80.0,110.0,0.8831,0.007405,-0.007405,0.06146,-0.03766
135.0,110.0,160.0,0.9165,0.004657,-0.004657,0.04694,-0.04121
185.0,160.0,210.0,0.9532,0.007209,-0.007209,0.04526,-0.03643
235.0,210.0,260.0,1.001,0.00978,-0.00978,0.05058,-0.04569
285.0,260.0,310.0,0.9948,0.01953,-0.01953,0.06201,-0.03694
355.0,310.0,400.0,1.009,0.01642,-0.01642,0.05744,-0.03326
600.0,400.0,800.0,1.015,0.03231,-0.03231,0.02574,-0.08597

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum p_T^\text{ch} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,0.7931,0.006191,-0.006191,0.1151,-0.1146
35.0,30.0,40.0,0.7736,0.007458,-0.007458,0.05388,-0.04626
50.0,40.0,60.0,0.7195,0.01037,-0.01037,0.06425,-0.082
70.0,60.0,80.0,0.719,0.00475,-0.00475,0.02565,-0.02978
95.0,80.0,110.0,0.6932,0.008804,-0.008804,0.04234,-0.04966
135.0,110.0,160.0,0.6702,0.005395,-0.005395,0.02891,-0.02812
185.0,160.0,210.0,0.6418,0.00816,-0.00816,0.03316,-0.02388
235.0,210.0,260.0,0.6308,0.0106,-0.0106,0.0197,-0.04291
285.0,260.0,310.0,0.6002,0.02119,-0.02119,0.04677,-0.04882
355.0,310.0,400.0,0.5811,0.01603,-0.01603,0.03774,-0.02769
600.0,400.0,800.0,0.4985,0.03267,-0.03267,0.02398,-0.03813

