#: table_doi: 10.17182/hepdata.65229.v1/t30
#: name: Table 30
#: description: Trans-min $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [20, 60]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table30.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.658,0.02688,-0.02688,0.07072,-0.07431
0.382,0.2865,0.4775,0.7172,0.03571,-0.03571,0.247,-0.1618
0.573,0.4775,0.6685,0.6957,0.03924,-0.03924,0.06934,-0.04998
0.76395,0.6685,0.8594,0.6177,0.02893,-0.02893,0.06881,-0.1159
0.9547000000000001,0.8594,1.05,0.53,0.02463,-0.02463,0.005976,-0.08235
1.1455000000000002,1.05,1.241,0.4244,0.02411,-0.02411,0.01656,-0.05385
1.3365,1.241,1.432,0.3256,0.02162,-0.02162,0.05351,-0.03706
1.5274999999999999,1.432,1.623,0.2447,0.02043,-0.02043,0.04783,-0.04459
1.7185000000000001,1.623,1.814,0.1723,0.0158,-0.0158,0.04514,-0.03735
1.9095,1.814,2.005,0.129,0.01108,-0.01108,0.04137,-0.04096
2.1959999999999997,2.005,2.387,0.07205,0.006353,-0.006353,0.02324,-0.02433
2.5780000000000003,2.387,2.769,0.03171,0.004725,-0.004725,0.01487,-0.01364
2.96,2.769,3.151,0.01388,0.002341,-0.002341,0.007536,-0.00713
3.3419999999999996,3.151,3.533,0.005894,0.001611,-0.001611,0.0036,-0.003495

#: PT(LEAD) [GeV],,,20.0-60.0
#: RE,,,P P --> JET JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.681,0.07437,-0.07437,0.07851,-0.07745
0.382,0.2865,0.4775,0.6952,0.08983,-0.08983,0.2302,-0.1109
0.573,0.4775,0.6685,0.7296,0.09639,-0.09639,0.07644,-0.0532
0.76395,0.6685,0.8594,0.7114,0.09599,-0.09599,0.09769,-0.1509
0.9547000000000001,0.8594,1.05,0.5914,0.06767,-0.06767,0.05206,-0.1068
1.1455000000000002,1.05,1.241,0.4405,0.07326,-0.07326,0.005928,-0.04267
1.3365,1.241,1.432,0.291,0.0506,-0.0506,0.04171,-0.03834
1.5274999999999999,1.432,1.623,0.1738,0.03243,-0.03243,0.06657,-0.06307
1.7185000000000001,1.623,1.814,0.1126,0.02313,-0.02313,0.05853,-0.05744
1.9095,1.814,2.005,0.08084,0.01674,-0.01674,0.04786,-0.04908
2.1959999999999997,2.005,2.387,0.05406,0.0103,-0.0103,0.03221,-0.03355
2.5780000000000003,2.387,2.769,0.02618,0.008566,-0.008566,0.01971,-0.01779
2.96,2.769,3.151,0.01038,0.004083,-0.004083,0.008194,-0.005341
3.3419999999999996,3.151,3.533,0.006884,0.001658,-0.001658,0.005991,-0.005407

