#: table_doi: 10.17182/hepdata.65229.v1/t31
#: name: Table 31
#: description: Transverse $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [60,210]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table31.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.095475,0.04775,0.1432,0.1822,0.02362,-0.02362,0.01096,-0.01561
0.19095,0.1432,0.2387,0.3137,0.04444,-0.04444,0.1396,-0.07283
0.28645,0.2387,0.3342,0.4453,0.06513,-0.06513,0.07731,-0.06487
0.38195,0.3342,0.4297,0.4985,0.05218,-0.05218,0.05139,-0.07337
0.47745000000000004,0.4297,0.5252,0.561,0.05391,-0.05391,0.02222,-0.07041
0.5729500000000001,0.5252,0.6207,0.6331,0.06146,-0.06146,0.1155,-0.1622
0.66845,0.6207,0.7162,0.6594,0.06603,-0.06603,0.1773,-0.1023
0.7639499999999999,0.7162,0.8117,0.6699,0.07233,-0.07233,0.1301,-0.04295
0.85945,0.8117,0.9072,0.6702,0.06764,-0.06764,0.05223,-0.05092
0.9551,0.9072,1.003,0.6466,0.06112,-0.06112,0.06059,-0.08365
1.0985,1.003,1.194,0.5587,0.03892,-0.03892,0.03392,-0.04439
1.2894999999999999,1.194,1.385,0.4368,0.03456,-0.03456,0.03431,-0.02914
1.4805000000000001,1.385,1.576,0.3612,0.02954,-0.02954,0.03195,-0.0347
1.6715,1.576,1.767,0.2887,0.02661,-0.02661,0.02569,-0.03758
1.8624999999999998,1.767,1.958,0.2217,0.02778,-0.02778,0.03679,-0.03851
2.1965,1.958,2.435,0.1501,0.01299,-0.01299,0.02691,-0.0241
2.674,2.435,2.913,0.07886,0.009551,-0.009551,0.01815,-0.01785
3.1515,2.913,3.39,0.03092,0.006489,-0.006489,0.01037,-0.009395
3.6285,3.39,3.867,0.01006,0.002898,-0.002898,0.004952,-0.00603

#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.095475,0.04775,0.1432,0.1733,0.03012,-0.03012,0.01139,-0.02622
0.19095,0.1432,0.2387,0.3289,0.07058,-0.07058,0.1252,-0.08529
0.28645,0.2387,0.3342,0.5079,0.1131,-0.1131,0.1176,-0.1099
0.38195,0.3342,0.4297,0.5608,0.08607,-0.08607,0.05281,-0.07019
0.47745000000000004,0.4297,0.5252,0.6712,0.09735,-0.09735,0.09982,-0.129
0.5729500000000001,0.5252,0.6207,0.7432,0.111,-0.111,0.2004,-0.2214
0.66845,0.6207,0.7162,0.7166,0.1207,-0.1207,0.2429,-0.1588
0.7639499999999999,0.7162,0.8117,0.6819,0.1218,-0.1218,0.1426,-0.0654
0.85945,0.8117,0.9072,0.6555,0.09657,-0.09657,0.04625,-0.05757
0.9551,0.9072,1.003,0.6155,0.09238,-0.09238,0.05252,-0.07796
1.0985,1.003,1.194,0.5341,0.05789,-0.05789,0.03692,-0.05113
1.2894999999999999,1.194,1.385,0.4054,0.05202,-0.05202,0.04899,-0.03335
1.4805000000000001,1.385,1.576,0.3147,0.03956,-0.03956,0.05778,-0.05817
1.6715,1.576,1.767,0.2564,0.04149,-0.04149,0.04332,-0.05226
1.8624999999999998,1.767,1.958,0.2088,0.04347,-0.04347,0.06069,-0.06291
2.1965,1.958,2.435,0.1522,0.02282,-0.02282,0.03996,-0.0421
2.674,2.435,2.913,0.06735,0.01396,-0.01396,0.02759,-0.02516
3.1515,2.913,3.39,0.02363,0.008411,-0.008411,0.01527,-0.0151
3.6285,3.39,3.867,0.01139,0.005111,-0.005111,0.006561,-0.007536

