#: table_doi: 10.17182/hepdata.65229.v1/t32
#: name: Table 32
#: description: Trans-max $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [60,210]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table32.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.1599,0.0168,-0.0168,0.01139,-0.02282
0.382,0.2865,0.4775,0.3074,0.0337,-0.0337,0.1612,-0.07594
0.573,0.4775,0.6685,0.4494,0.04627,-0.04627,0.05395,-0.02625
0.76395,0.6685,0.8594,0.5178,0.04111,-0.04111,0.05809,-0.1155
0.9547000000000001,0.8594,1.05,0.5452,0.039,-0.039,0.0359,-0.08674
1.1455000000000002,1.05,1.241,0.5304,0.03911,-0.03911,0.107,-0.1347
1.3365,1.241,1.432,0.4829,0.03852,-0.03852,0.09713,-0.05352
1.5274999999999999,1.432,1.623,0.4084,0.03555,-0.03555,0.04639,-0.008132
1.7185000000000001,1.623,1.814,0.3386,0.02783,-0.02783,0.06695,-0.052
1.9095,1.814,2.005,0.2881,0.026,-0.026,0.04442,-0.0482
2.1959999999999997,2.005,2.387,0.2229,0.01675,-0.01675,0.03229,-0.03742
2.5780000000000003,2.387,2.769,0.148,0.01455,-0.01455,0.01805,-0.02176
2.96,2.769,3.151,0.09549,0.01214,-0.01214,0.01523,-0.01408
3.3419999999999996,3.151,3.533,0.05179,0.008372,-0.008372,0.01206,-0.01277
3.724,3.533,3.915,0.03122,0.006229,-0.006229,0.008664,-0.01005

#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.1552,0.02121,-0.02121,0.01562,-0.03216
0.382,0.2865,0.4775,0.3399,0.05822,-0.05822,0.2087,-0.08578
0.573,0.4775,0.6685,0.5627,0.08541,-0.08541,0.1245,-0.1114
0.76395,0.6685,0.8594,0.5958,0.07511,-0.07511,0.1269,-0.2078
0.9547000000000001,0.8594,1.05,0.5354,0.05988,-0.05988,0.02499,-0.06559
1.1455000000000002,1.05,1.241,0.4769,0.05416,-0.05416,0.1047,-0.09585
1.3365,1.241,1.432,0.4479,0.05219,-0.05219,0.1018,-0.04924
1.5274999999999999,1.432,1.623,0.4099,0.06136,-0.06136,0.04569,-0.01075
1.7185000000000001,1.623,1.814,0.3521,0.04755,-0.04755,0.06691,-0.06703
1.9095,1.814,2.005,0.2827,0.04435,-0.04435,0.04114,-0.06063
2.1959999999999997,2.005,2.387,0.2092,0.02578,-0.02578,0.04764,-0.05239
2.5780000000000003,2.387,2.769,0.1385,0.02256,-0.02256,0.02783,-0.02851
2.96,2.769,3.151,0.08725,0.01922,-0.01922,0.02268,-0.02144
3.3419999999999996,3.151,3.533,0.04245,0.01074,-0.01074,0.01733,-0.01723
3.724,3.533,3.915,0.02253,0.008884,-0.008884,0.01131,-0.01127

