#: table_doi: 10.17182/hepdata.65229.v1/t33
#: name: Table 33
#: description: Trans-min $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} \in [60,210]\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table33.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.6207,0.04269,-0.04269,0.03798,-0.04363
0.382,0.2865,0.4775,0.7292,0.06101,-0.06101,0.2625,-0.1775
0.573,0.4775,0.6685,0.7128,0.06683,-0.06683,0.04787,-0.02864
0.76395,0.6685,0.8594,0.6354,0.05106,-0.05106,0.09083,-0.1221
0.9547000000000001,0.8594,1.05,0.5336,0.0415,-0.0415,0.003278,-0.07008
1.1455000000000002,1.05,1.241,0.4255,0.03752,-0.03752,0.007406,-0.05809
1.3365,1.241,1.432,0.3067,0.03505,-0.03505,0.04536,-0.03332
1.5274999999999999,1.432,1.623,0.2171,0.03153,-0.03153,0.04731,-0.04218
1.7185000000000001,1.623,1.814,0.1571,0.02587,-0.02587,0.0454,-0.03981
1.9095,1.814,2.005,0.1233,0.01736,-0.01736,0.03615,-0.03752
2.1959999999999997,2.005,2.387,0.08155,0.0119,-0.0119,0.01721,-0.02058
2.5780000000000003,2.387,2.769,0.04296,0.009221,-0.009221,0.01245,-0.009508
2.96,2.769,3.151,0.01937,0.006738,-0.006738,0.01056,-0.004802
3.3419999999999996,3.151,3.533,0.005501,0.00204,-0.00204,0.008452,-0.002495

#: PT(LEAD) [GeV],,,60.0-210.0
#: RE,,,P P --> JET JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.6786,0.07381,-0.07381,0.09468,-0.1005
0.382,0.2865,0.4775,0.7584,0.0977,-0.0977,0.2985,-0.1972
0.573,0.4775,0.6685,0.7217,0.1179,-0.1179,0.04701,-0.04218
0.76395,0.6685,0.8594,0.6288,0.0855,-0.0855,0.1127,-0.1244
0.9547000000000001,0.8594,1.05,0.5145,0.06237,-0.06237,0.01991,-0.07192
1.1455000000000002,1.05,1.241,0.381,0.05615,-0.05615,0.0266,-0.04199
1.3365,1.241,1.432,0.2657,0.05226,-0.05226,0.05068,-0.05057
1.5274999999999999,1.432,1.623,0.1884,0.04618,-0.04618,0.0648,-0.06196
1.7185000000000001,1.623,1.814,0.1488,0.0454,-0.0454,0.06902,-0.06866
1.9095,1.814,2.005,0.1228,0.03355,-0.03355,0.05638,-0.05847
2.1959999999999997,2.005,2.387,0.0873,0.02376,-0.02376,0.01765,-0.02476
2.5780000000000003,2.387,2.769,0.05247,0.01607,-0.01607,0.02528,-0.01931
2.96,2.769,3.151,0.01706,0.008972,-0.008972,0.02174,-0.01103
3.3419999999999996,3.151,3.533,0.003175,0.0022,-0.0022,0.009195,-0.001566

