#: table_doi: 10.17182/hepdata.65229.v1/t36
#: name: Table 36
#: description: Trans-min $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} > 210\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table36.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.7192,0.03824,-0.03824,0.03994,-0.04597
0.382,0.2865,0.4775,0.7393,0.04769,-0.04769,0.2472,-0.1827
0.573,0.4775,0.6685,0.6745,0.05494,-0.05494,0.07188,-0.02279
0.76395,0.6685,0.8594,0.5696,0.03856,-0.03856,0.08873,-0.1129
0.9547000000000001,0.8594,1.05,0.4557,0.02813,-0.02813,0.02113,-0.07882
1.1455000000000002,1.05,1.241,0.3792,0.02847,-0.02847,0.02509,-0.06258
1.3365,1.241,1.432,0.2973,0.02984,-0.02984,0.04724,-0.03889
1.5274999999999999,1.432,1.623,0.228,0.02632,-0.02632,0.02994,-0.02252
1.7185000000000001,1.623,1.814,0.1649,0.02047,-0.02047,0.0289,-0.0219
1.9095,1.814,2.005,0.1159,0.01345,-0.01345,0.03177,-0.02781
2.1959999999999997,2.005,2.387,0.07205,0.008503,-0.008503,0.02047,-0.01958
2.5780000000000003,2.387,2.769,0.04086,0.007877,-0.007877,0.008107,-0.008167

#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.8477,0.1079,-0.1079,0.05252,-0.04778
0.382,0.2865,0.4775,0.7887,0.1283,-0.1283,0.2481,-0.2093
0.573,0.4775,0.6685,0.6596,0.1541,-0.1541,0.07024,-0.05176
0.76395,0.6685,0.8594,0.5007,0.06708,-0.06708,0.08206,-0.1018
0.9547000000000001,0.8594,1.05,0.3899,0.06272,-0.06272,0.0687,-0.08664
1.1455000000000002,1.05,1.241,0.3225,0.06783,-0.06783,0.05995,-0.07114
1.3365,1.241,1.432,0.2445,0.06838,-0.06838,0.05909,-0.05705
1.5274999999999999,1.432,1.623,0.1694,0.05787,-0.05787,0.05707,-0.05557
1.7185000000000001,1.623,1.814,0.1015,0.03029,-0.03029,0.04496,-0.04265
1.9095,1.814,2.005,0.05324,0.02112,-0.02112,0.03421,-0.03107
2.1959999999999997,2.005,2.387,0.02433,0.007069,-0.007069,0.0209,-0.0195
2.5780000000000003,2.387,2.769,0.01445,0.002703,-0.002703,0.01227,-0.01156

