#: table_doi: 10.17182/hepdata.65229.v1/t4
#: name: Table 4
#: description: Transverse $\langle N_\text{ch} / \delta\eta\,\delta\phi \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 2.5$ in incl jet / excl dijet events.

#: data_file: Table4.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle N_\text{ch} / \delta\eta \delta\phi \rangle$,stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.044,0.001651,-0.001651,0.04113,-0.0403
35.0,30.0,40.0,1.03,0.003899,-0.003899,0.04574,-0.04801
50.0,40.0,60.0,1.01,0.006057,-0.006057,0.06401,-0.02769
70.0,60.0,80.0,1.042,0.00283,-0.00283,0.04483,-0.04193
95.0,80.0,110.0,1.075,0.0051,-0.0051,0.06109,-0.04063
135.0,110.0,160.0,1.104,0.002985,-0.002985,0.04987,-0.04606
185.0,160.0,210.0,1.132,0.00421,-0.00421,0.05001,-0.04337
235.0,210.0,260.0,1.171,0.005259,-0.005259,0.04861,-0.04724
285.0,260.0,310.0,1.168,0.009768,-0.009768,0.05628,-0.04353
355.0,310.0,400.0,1.18,0.008142,-0.008142,0.04574,-0.04605
600.0,400.0,800.0,1.191,0.0161,-0.0161,0.04323,-0.04359

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle N_\text{ch} / \delta\eta \delta\phi \rangle$,stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.02,0.005085,-0.005085,0.185,-0.1838
35.0,30.0,40.0,1.005,0.006101,-0.006101,0.09558,-0.09274
50.0,40.0,60.0,0.9609,0.008548,-0.008548,0.03808,-0.04284
70.0,60.0,80.0,0.9627,0.004004,-0.004004,0.03418,-0.03397
95.0,80.0,110.0,0.9517,0.007499,-0.007499,0.0441,-0.04623
135.0,110.0,160.0,0.9358,0.004622,-0.004622,0.03196,-0.03382
185.0,160.0,210.0,0.9078,0.006937,-0.006937,0.03478,-0.03149
235.0,210.0,260.0,0.8928,0.009044,-0.009044,0.02311,-0.0348
285.0,260.0,310.0,0.887,0.01848,-0.01848,0.02988,-0.04309
355.0,310.0,400.0,0.8657,0.01433,-0.01433,0.04213,-0.03111
600.0,400.0,800.0,0.7883,0.02789,-0.02789,0.02156,-0.05849

