#: table_doi: 10.17182/hepdata.65229.v1/t5
#: name: Table 5
#: description: Trans-max $\langle N_\text{ch} / \delta\eta\,\delta\phi \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 2.5$ in incl jet / excl dijet events.

#: data_file: Table5.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle N_\text{ch} / \delta\eta \delta\phi \rangle$,stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.304,0.001925,-0.001925,0.05038,-0.04883
35.0,30.0,40.0,1.298,0.004587,-0.004587,0.06078,-0.05692
50.0,40.0,60.0,1.287,0.007236,-0.007236,0.07533,-0.03279
70.0,60.0,80.0,1.334,0.003405,-0.003405,0.05551,-0.04752
95.0,80.0,110.0,1.39,0.006237,-0.006237,0.07253,-0.04773
135.0,110.0,160.0,1.438,0.003707,-0.003707,0.0617,-0.05454
185.0,160.0,210.0,1.496,0.005364,-0.005364,0.06472,-0.05147
235.0,210.0,260.0,1.565,0.006826,-0.006826,0.06374,-0.05711
285.0,260.0,310.0,1.571,0.0128,-0.0128,0.0772,-0.05882
355.0,310.0,400.0,1.6,0.01084,-0.01084,0.06221,-0.0558
600.0,400.0,800.0,1.642,0.02202,-0.02202,0.05979,-0.06274

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle N_\text{ch} / \delta\eta \delta\phi \rangle$,stat +,stat -,sys +,sys -
25.0,20.0,30.0,1.281,0.006017,-0.006017,0.2079,-0.2051
35.0,30.0,40.0,1.262,0.007142,-0.007142,0.1152,-0.1088
50.0,40.0,60.0,1.222,0.01018,-0.01018,0.04862,-0.05301
70.0,60.0,80.0,1.233,0.004821,-0.004821,0.04532,-0.03994
95.0,80.0,110.0,1.235,0.009129,-0.009129,0.05045,-0.05384
135.0,110.0,160.0,1.22,0.005672,-0.005672,0.04144,-0.04218
185.0,160.0,210.0,1.19,0.008548,-0.008548,0.04104,-0.03791
235.0,210.0,260.0,1.18,0.01128,-0.01128,0.03119,-0.04525
285.0,260.0,310.0,1.169,0.0233,-0.0233,0.06678,-0.04338
355.0,310.0,400.0,1.161,0.01833,-0.01833,0.05202,-0.03386
600.0,400.0,800.0,1.056,0.03432,-0.03432,0.04608,-0.09523

