#: table_doi: 10.17182/hepdata.65229.v1/t6
#: name: Table 6
#: description: Trans-min $\langle N_\text{ch} / \delta\eta\,\delta\phi \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 2.5$ in incl jet / excl dijet events.

#: data_file: Table6.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle N_\text{ch} / \delta\eta \delta\phi \rangle$,stat +,stat -,sys +,sys -
25.0,20.0,30.0,0.7779,0.001597,-0.001597,0.03104,-0.03161
35.0,30.0,40.0,0.7568,0.003775,-0.003775,0.03057,-0.03307
50.0,40.0,60.0,0.7282,0.0058,-0.0058,0.04235,-0.02003
70.0,60.0,80.0,0.7416,0.002692,-0.002692,0.03174,-0.03194
95.0,80.0,110.0,0.7563,0.004802,-0.004802,0.0398,-0.02593
135.0,110.0,160.0,0.7621,0.002783,-0.002783,0.03294,-0.03337
185.0,160.0,210.0,0.7635,0.003852,-0.003852,0.03114,-0.03042
235.0,210.0,260.0,0.7708,0.00473,-0.00473,0.03216,-0.03128
285.0,260.0,310.0,0.7639,0.008782,-0.008782,0.03877,-0.03342
355.0,310.0,400.0,0.754,0.007118,-0.007118,0.02705,-0.02948
600.0,400.0,800.0,0.7433,0.01383,-0.01383,0.02292,-0.03779

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle N_\text{ch} / \delta\eta \delta\phi \rangle$,stat +,stat -,sys +,sys -
25.0,20.0,30.0,0.7429,0.004764,-0.004764,0.1639,-0.1635
35.0,30.0,40.0,0.7322,0.005932,-0.005932,0.08408,-0.08098
50.0,40.0,60.0,0.6861,0.008231,-0.008231,0.02534,-0.04077
70.0,60.0,80.0,0.6806,0.003849,-0.003849,0.01965,-0.02402
95.0,80.0,110.0,0.6581,0.007162,-0.007162,0.02462,-0.02631
135.0,110.0,160.0,0.6387,0.004411,-0.004411,0.01937,-0.02105
185.0,160.0,210.0,0.6098,0.006627,-0.006627,0.02524,-0.01931
235.0,210.0,260.0,0.5975,0.008629,-0.008629,0.01298,-0.02889
285.0,260.0,310.0,0.5748,0.01702,-0.01702,0.02998,-0.03409
355.0,310.0,400.0,0.5676,0.01338,-0.01338,0.02068,-0.02482
600.0,400.0,800.0,0.4995,0.02728,-0.02728,0.02517,-0.03024

