#: table_doi: 10.17182/hepdata.65229.v1/t8
#: name: Table 8
#: description: Transverse $\langle \sum E_T^\text{ch+neut} / \delta\eta\,\delta\phi \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 4.8$ in incl jet / excl dijet events.

#: data_file: Table8.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum E_T^\text{ch+neut} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,2.347,0.00299,-0.00299,0.1452,-0.1082
35.0,30.0,40.0,2.324,0.007149,-0.007149,0.1313,-0.0882
50.0,40.0,60.0,2.305,0.01142,-0.01142,0.2218,-0.08202
70.0,60.0,80.0,2.426,0.00569,-0.00569,0.1438,-0.094
95.0,80.0,110.0,2.544,0.01109,-0.01109,0.1823,-0.08902
135.0,110.0,160.0,2.695,0.007129,-0.007129,0.1577,-0.09633
185.0,160.0,210.0,2.838,0.01125,-0.01125,0.1611,-0.1312
235.0,210.0,260.0,2.918,0.01585,-0.01585,0.1473,-0.1083
285.0,260.0,310.0,2.951,0.03092,-0.03092,0.176,-0.1364
355.0,310.0,400.0,2.961,0.02795,-0.02795,0.1555,-0.1082
600.0,400.0,800.0,3.268,0.06564,-0.06564,0.1594,-0.1819

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum E_T^\text{ch+neut} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,2.385,0.009703,-0.009703,0.486,-0.4611
35.0,30.0,40.0,2.335,0.0113,-0.0113,0.2807,-0.2546
50.0,40.0,60.0,2.213,0.0156,-0.0156,0.1466,-0.1274
70.0,60.0,80.0,2.214,0.007384,-0.007384,0.1201,-0.0775
95.0,80.0,110.0,2.216,0.01413,-0.01413,0.1234,-0.1067
135.0,110.0,160.0,2.211,0.008628,-0.008628,0.1196,-0.08219
185.0,160.0,210.0,2.147,0.01304,-0.01304,0.1121,-0.08191
235.0,210.0,260.0,1.994,0.01725,-0.01725,0.1145,-0.1159
285.0,260.0,310.0,1.973,0.03581,-0.03581,0.1965,-0.2224
355.0,310.0,400.0,1.853,0.02777,-0.02777,0.1128,-0.06614
600.0,400.0,800.0,1.845,0.06308,-0.06308,0.1707,-0.1633

