#: table_doi: 10.17182/hepdata.65229.v1/t9
#: name: Table 9
#: description: Transverse $\langle \sum p_T^\text{ch} / \sum E_T^\text{ch+neut} \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 2.5$ in incl jet / excl dijet events.

#: data_file: Table9.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum p_T^\text{ch} / \sum E_T^\text{ch+neut} \rangle$,stat +,stat -,sys +,sys -
25.0,20.0,30.0,0.4415,0.001851,-0.001851,0.0249,-0.0257
35.0,30.0,40.0,0.4468,0.00137,-0.00137,0.02742,-0.02671
50.0,40.0,60.0,0.4526,0.04195,-0.04195,0.02198,-0.02318
70.0,60.0,80.0,0.4555,0.003846,-0.003846,0.02481,-0.02557
95.0,80.0,110.0,0.4609,0.001999,-0.001999,0.02529,-0.02771
135.0,110.0,160.0,0.4634,0.0009071,-0.0009071,0.02513,-0.02495
185.0,160.0,210.0,0.4677,0.001141,-0.001141,0.02619,-0.02641
235.0,210.0,260.0,0.4778,0.01234,-0.01234,0.02263,-0.02365
285.0,260.0,310.0,0.4805,0.003646,-0.003646,0.02327,-0.02259
355.0,310.0,400.0,0.4866,0.01188,-0.01188,0.02257,-0.02312
600.0,400.0,800.0,0.4951,0.006032,-0.006032,0.02312,-0.02622

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum p_T^\text{ch} / \sum E_T^\text{ch+neut} \rangle$,stat +,stat -,sys +,sys -
25.0,20.0,30.0,0.439,0.007105,-0.007105,0.02255,-0.02525
35.0,30.0,40.0,0.4401,0.002633,-0.002633,0.02224,-0.02042
50.0,40.0,60.0,0.4419,0.08908,-0.08908,0.01805,-0.02016
70.0,60.0,80.0,0.4424,0.008587,-0.008587,0.02291,-0.02453
95.0,80.0,110.0,0.4423,0.002395,-0.002395,0.02511,-0.02846
135.0,110.0,160.0,0.437,0.001627,-0.001627,0.02432,-0.02353
185.0,160.0,210.0,0.4347,0.002957,-0.002957,0.02594,-0.02633
235.0,210.0,260.0,0.4366,0.004295,-0.004295,0.02732,-0.02788
285.0,260.0,310.0,0.4456,0.01057,-0.01057,0.0187,-0.02153
355.0,310.0,400.0,0.4522,0.02461,-0.02461,0.01959,-0.01525
600.0,400.0,800.0,0.4458,0.02229,-0.02229,0.0197,-0.03448

