#: table_doi: 10.17182/hepdata.70547.v2/t10
#: name: Table 10
#: description: Towards scalar pT sum distribution, Z-boson pT = 0 - 5 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table10.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,0.0-5.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,2.33597,0.05059123,-0.05059123
0.0554,0.0525,0.0583,1.832888,0.04454089,-0.04454089
0.061149999999999996,0.0583,0.064,1.603464,0.04294846,-0.04294846
0.06684999999999999,0.064,0.0697,1.238597,0.04195177,-0.04195177
0.07305,0.0697,0.0764,0.9609724,0.03358865,-0.03358865
0.0802,0.0764,0.084,0.8042693,0.03041242,-0.03041242
0.0888,0.084,0.0936,0.610138,0.02588372,-0.02588372
0.09834999999999999,0.0936,0.1031,0.6123391,0.02353628,-0.02353628
0.10885,0.1031,0.1146,0.9263286,0.02196114,-0.02196114
0.12034999999999998,0.1146,0.1261,0.993584,0.02086168,-0.02086168
0.13085,0.1261,0.1356,0.9773403,0.02214856,-0.02214856
0.14179999999999998,0.1356,0.148,0.8450192,0.0190821,-0.0190821
0.15515,0.148,0.1623,0.7795192,0.01809806,-0.01809806
0.17185,0.1623,0.1814,0.8155415,0.0149616,-0.0149616
0.19095,0.1814,0.2005,0.8786802,0.01437589,-0.01437589
0.21005000000000001,0.2005,0.2196,0.828109,0.01477603,-0.01477603
0.22915,0.2196,0.2387,0.8053507,0.01508338,-0.01508338
0.25305,0.2387,0.2674,0.8266128,0.01425113,-0.01425113
0.2817,0.2674,0.296,0.805175,0.01359143,-0.01359143
0.31035,0.296,0.3247,0.8072335,0.0132975,-0.0132975
0.33899999999999997,0.3247,0.3533,0.7797724,0.009866523,-0.009866523
0.3724,0.3533,0.3915,0.7760436,0.009323889,-0.009323889
0.4106,0.3915,0.4297,0.7696343,0.01008839,-0.01008839
0.4488,0.4297,0.4679,0.7519006,0.009453626,-0.009453626
0.49655,0.4679,0.5252,0.7168509,0.007518414,-0.007518414
0.5467,0.5252,0.5682,0.6865213,0.007012461,-0.007012461
0.59685,0.5682,0.6255,0.65508,0.00602304,-0.00602304
0.6565,0.6255,0.6875,0.6137293,0.005567357,-0.005567357
0.72095,0.6875,0.7544,0.5694429,0.005089036,-0.005089036
0.7926,0.7544,0.8308,0.5334122,0.004798612,-0.004798612
0.87375,0.8308,0.9167,0.4861814,0.005013377,-0.005013377
0.9621,0.9167,1.0075,0.432234,0.004864194,-0.004864194
1.0575999999999999,1.0075,1.1077,0.3845181,0.004502659,-0.004502659
1.165,1.1077,1.2223,0.3360177,0.004065208,-0.004065208
1.282,1.2223,1.3417,0.2823558,0.003677763,-0.003677763
1.40855,1.3417,1.4754,0.2345804,0.003404269,-0.003404269
1.5493999999999999,1.4754,1.6234,0.1856192,0.002919568,-0.002919568
1.70455,1.6234,1.7857,0.1494425,0.002509739,-0.002509739
1.87405,1.7857,1.9624,0.1174341,0.002297004,-0.002297004
2.06025,1.9624,2.1581,0.08881729,0.001933197,-0.001933197
2.26795,2.1581,2.3778,0.0606795,0.001583863,-0.001583863
2.49715,2.3778,2.6165,0.0403992,0.001318708,-0.001318708
2.7454,2.6165,2.8743,0.02659795,0.001075209,-0.001075209
3.01755,2.8743,3.1608,0.01501189,0.0009669565,-0.0009669565
3.3207500000000003,3.1608,3.4807,0.00822387,0.0007141352,-0.0007141352
3.6550000000000002,3.4807,3.8293,0.00426794,0.0004648851,-0.0004648851
4.02025,3.8293,4.2112,0.002170253,0.0003357976,-0.0003357976

