#: table_doi: 10.17182/hepdata.70547.v2/t103
#: name: Table 103
#: description: Trans.max. charged multiplicity distribution, Z-boson pT = 10 - 20 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table121.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,10.0-20.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.443138,0.007803228,-0.007803228
0.382,0.2865,0.4775,0.5880262,0.00740049,-0.00740049
0.573,0.4775,0.6685,0.6513377,0.006989169,-0.006989169
0.76395,0.6685,0.8594,0.637208,0.005832101,-0.005832101
0.9549000000000001,0.8594,1.0504,0.5755724,0.005003496,-0.005003496
1.1459000000000001,1.0504,1.2414,0.501096,0.004064897,-0.004064897
1.3369,1.2414,1.4324,0.4140183,0.003254192,-0.003254192
1.5278999999999998,1.4324,1.6234,0.3344147,0.003413688,-0.003413688
1.7189,1.6234,1.8144,0.2614208,0.004109115,-0.004109115
1.9099,1.8144,2.0054,0.1954576,0.004472624,-0.004472624
2.10085,2.0054,2.1963,0.1461968,0.004593185,-0.004593185
2.2918000000000003,2.1963,2.3873,0.1035754,0.00452893,-0.00452893
2.4828,2.3873,2.5783,0.07327468,0.004104174,-0.004104174
2.6738,2.5783,2.7693,0.04992134,0.003567416,-0.003567416
2.8648,2.7693,2.9603,0.03457284,0.002915316,-0.002915316
3.0558,2.9603,3.1513,0.02434983,0.002301439,-0.002301439
3.2468,3.1513,3.3423,0.01733532,0.001752466,-0.001752466
3.43775,3.3423,3.5332,0.01191194,0.001297843,-0.001297843
3.6287000000000003,3.5332,3.7242,0.008086005,0.000979902,-0.000979902
3.8197,3.7242,3.9152,0.005479967,0.0007919463,-0.0007919463
4.0107,3.9152,4.1062,0.003619969,0.0005965551,-0.0005965551
4.201700000000001,4.1062,4.2972,0.002636782,0.0004095601,-0.0004095601
4.3927,4.2972,4.4882,0.001564892,0.0003133584,-0.0003133584
4.5837,4.4882,4.6792,0.001008784,0.0002250481,-0.0002250481
4.87015,4.6792,5.0611,0.000444311,0.000126074,-0.000126074

