#: table_doi: 10.17182/hepdata.70547.v2/t112
#: name: Table 112
#: description: Transverse scalar pT sum distribution, Z-boson pT = 110 - 500 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table130.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,110.0-500.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,0.7218287,0.1138995,-0.1138995
0.0554,0.0525,0.0583,0.5330065,0.1106743,-0.1106743
0.061149999999999996,0.0583,0.064,0.5125617,0.09190951,-0.09190951
0.06684999999999999,0.064,0.0697,0.5275723,0.09772876,-0.09772876
0.07305,0.0697,0.0764,0.3872275,0.07964269,-0.07964269
0.0802,0.0764,0.084,0.2101603,0.07351054,-0.07351054
0.0888,0.084,0.0936,0.1992997,0.06035567,-0.06035567
0.09834999999999999,0.0936,0.1031,0.1524795,0.05822195,-0.05822195
0.10885,0.1031,0.1146,0.3672241,0.0516275,-0.0516275
0.12034999999999998,0.1146,0.1261,0.2740602,0.04692044,-0.04692044
0.13085,0.1261,0.1356,0.4035396,0.05512352,-0.05512352
0.14179999999999998,0.1356,0.148,0.3330805,0.05300843,-0.05300843
0.15515,0.148,0.1623,0.3060758,0.05295891,-0.05295891
0.17185,0.1623,0.1814,0.3787465,0.05038187,-0.05038187
0.19095,0.1814,0.2005,0.3649594,0.04695605,-0.04695605
0.21005000000000001,0.2005,0.2196,0.359287,0.04706717,-0.04706717
0.22915,0.2196,0.2387,0.4758506,0.04491815,-0.04491815
0.25305,0.2387,0.2674,0.3760843,0.0378702,-0.0378702
0.2817,0.2674,0.296,0.4434025,0.03858929,-0.03858929
0.31035,0.296,0.3247,0.4449486,0.03630962,-0.03630962
0.33899999999999997,0.3247,0.3533,0.4237811,0.03570796,-0.03570796
0.3724,0.3533,0.3915,0.4008478,0.0323739,-0.0323739
0.4106,0.3915,0.4297,0.4233935,0.03338748,-0.03338748
0.4488,0.4297,0.4679,0.4241491,0.03377789,-0.03377789
0.49655,0.4679,0.5252,0.436448,0.02902928,-0.02902928
0.5467,0.5252,0.5682,0.4628124,0.02881979,-0.02881979
0.59685,0.5682,0.6255,0.4507322,0.02538449,-0.02538449
0.6565,0.6255,0.6875,0.4403976,0.02326619,-0.02326619
0.72095,0.6875,0.7544,0.4462229,0.02152052,-0.02152052
0.7926,0.7544,0.8308,0.4136919,0.02146374,-0.02146374
0.87375,0.8308,0.9167,0.3920267,0.01896063,-0.01896063
0.9621,0.9167,1.0075,0.3789191,0.01818377,-0.01818377
1.0575999999999999,1.0075,1.1077,0.3908976,0.01629986,-0.01629986
1.165,1.1077,1.2223,0.3784505,0.01503757,-0.01503757
1.282,1.2223,1.3417,0.3590538,0.01451049,-0.01451049
1.40855,1.3417,1.4754,0.310086,0.01285498,-0.01285498
1.5493999999999999,1.4754,1.6234,0.2715276,0.0112404,-0.0112404
1.70455,1.6234,1.7857,0.2288823,0.009876766,-0.009876766
1.87405,1.7857,1.9624,0.21454,0.009410875,-0.009410875
2.06025,1.9624,2.1581,0.1876685,0.008451035,-0.008451035
2.26795,2.1581,2.3778,0.1676537,0.007620394,-0.007620394
2.49715,2.3778,2.6165,0.1340399,0.006529299,-0.006529299
2.7454,2.6165,2.8743,0.1107755,0.005833619,-0.005833619
3.01755,2.8743,3.1608,0.07809944,0.00491334,-0.00491334
3.3207500000000003,3.1608,3.4807,0.07021975,0.004094074,-0.004094074
3.6550000000000002,3.4807,3.8293,0.05453535,0.003783959,-0.003783959
4.02025,3.8293,4.2112,0.04505875,0.003215114,-0.003215114
4.4213000000000005,4.2112,4.6314,0.03221385,0.002807336,-0.002807336
4.86295,4.6314,5.0945,0.02486817,0.002289091,-0.002289091
5.34995,5.0945,5.6054,0.02007564,0.001908148,-0.001908148
5.88475,5.6054,6.1641,0.01817398,0.001541123,-0.001541123
6.47205,6.1641,6.78,0.01425264,0.001337765,-0.001337765
7.119,6.78,7.458,0.01314116,0.001335904,-0.001335904
7.8304,7.458,8.2028,0.009766675,0.001202152,-0.001202152
8.61345,8.2028,9.0241,0.008533758,0.0008262247,-0.0008262247
9.4777,9.0241,9.9313,0.005694351,0.0007341481,-0.0007341481

