#: table_doi: 10.17182/hepdata.70547.v2/t113
#: name: Table 113
#: description: Towards <mean pT(charged)> vs Z-boson pT, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table131.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE PT(P=3) [GEV],error +,error -
2.5,0.0,5.0,0.9529463,0.00460982,-0.00460982
7.5,5.0,10.0,0.9799309,0.00478052,-0.00478052
12.5,10.0,15.0,1.007969,0.005119514,-0.005119514
17.5,15.0,20.0,1.03249,0.005146294,-0.005146294
22.5,20.0,25.0,1.051097,0.004690132,-0.004690132
27.5,25.0,30.0,1.075211,0.00415531,-0.00415531
32.5,30.0,35.0,1.095214,0.00419568,-0.00419568
37.5,35.0,40.0,1.117537,0.005229885,-0.005229885
45.0,40.0,50.0,1.130493,0.005326079,-0.005326079
55.0,50.0,60.0,1.147319,0.006534031,-0.006534031
70.0,60.0,80.0,1.182245,0.006771047,-0.006771047
95.0,80.0,110.0,1.232221,0.009642628,-0.009642628
135.0,110.0,160.0,1.285882,0.01293897,-0.01293897
185.0,160.0,210.0,1.327832,0.03079958,-0.03079958
355.0,210.0,500.0,1.387185,0.03949738,-0.03949738

