#: table_doi: 10.17182/hepdata.70547.v2/t114
#: name: Table 114
#: description: Transverse <mean pT(charged)> vs Z-boson pT, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table132.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE PT(P=3) [GEV],error +,error -
2.5,0.0,5.0,0.9620992,0.002225566,-0.002225566
7.5,5.0,10.0,1.00612,0.002424744,-0.002424744
12.5,10.0,15.0,1.045808,0.002736053,-0.002736053
17.5,15.0,20.0,1.084075,0.003141436,-0.003141436
22.5,20.0,25.0,1.117712,0.003439707,-0.003439707
27.5,25.0,30.0,1.142102,0.004106468,-0.004106468
32.5,30.0,35.0,1.174719,0.0044307,-0.0044307
37.5,35.0,40.0,1.196808,0.005278364,-0.005278364
45.0,40.0,50.0,1.23207,0.004990889,-0.004990889
55.0,50.0,60.0,1.27202,0.006755225,-0.006755225
70.0,60.0,80.0,1.317871,0.007604847,-0.007604847
95.0,80.0,110.0,1.390529,0.01023534,-0.01023534
135.0,110.0,160.0,1.457417,0.01542762,-0.01542762
185.0,160.0,210.0,1.575153,0.03446642,-0.03446642
355.0,210.0,500.0,1.695238,0.05052835,-0.05052835

