#: table_doi: 10.17182/hepdata.70547.v2/t115
#: name: Table 115
#: description: Away <mean pT(charged)> vs Z-boson pT, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table133.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Away region,,,
#: - Dressed leptons,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
PT(P=4) [GEV],PT(P=4) [GEV] LOW,PT(P=4) [GEV] HIGH,AVERAGE PT(P=3) [GEV],error +,error -
2.5,0.0,5.0,1.007576,0.003448181,-0.003448181
7.5,5.0,10.0,1.110819,0.003688995,-0.003688995
12.5,10.0,15.0,1.244285,0.004118647,-0.004118647
17.5,15.0,20.0,1.38606,0.005514331,-0.005514331
22.5,20.0,25.0,1.531176,0.008466069,-0.008466069
27.5,25.0,30.0,1.670529,0.01217534,-0.01217534
32.5,30.0,35.0,1.820013,0.01464393,-0.01464393
37.5,35.0,40.0,1.959623,0.01650207,-0.01650207
45.0,40.0,50.0,2.148978,0.01793641,-0.01793641
55.0,50.0,60.0,2.40304,0.0205824,-0.0205824
70.0,60.0,80.0,2.75954,0.02255501,-0.02255501
95.0,80.0,110.0,3.27191,0.02629153,-0.02629153
135.0,110.0,160.0,3.977932,0.03507232,-0.03507232
185.0,160.0,210.0,4.75284,0.05501873,-0.05501873
355.0,210.0,500.0,5.608314,0.08773402,-0.08773402

