#: table_doi: 10.17182/hepdata.70547.v2/t116
#: name: Table 116
#: description: Towards <mean pT(charged)> vs charged multiplicity, dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table140.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
N(P=3),N(P=3) LOW,N(P=3) HIGH,AVERAGE PT(P=3) [GEV],error +,error -
1.0,0.5,1.5,0.9222494,0.01378662,-0.01378662
2.0,1.5,2.5,0.9690114,0.01345611,-0.01345611
3.0,2.5,3.5,1.004897,0.01189483,-0.01189483
4.0,3.5,4.5,1.022504,0.009727695,-0.009727695
5.0,4.5,5.5,1.040728,0.00780827,-0.00780827
6.0,5.5,6.5,1.051741,0.006542972,-0.006542972
7.0,6.5,7.5,1.064847,0.005869688,-0.005869688
8.0,7.5,8.5,1.075699,0.006012257,-0.006012257
9.0,8.5,9.5,1.083962,0.007329735,-0.007329735
10.0,9.5,10.5,1.090795,0.009025317,-0.009025317
11.5,10.5,12.5,1.103586,0.01021922,-0.01021922
13.75,12.5,15.0,1.124102,0.01129042,-0.01129042
17.5,15.0,20.0,1.150777,0.01268696,-0.01268696
25.0,20.0,30.0,1.207312,0.0142939,-0.0142939
40.0,30.0,50.0,1.330284,0.01738142,-0.01738142

