#: table_doi: 10.17182/hepdata.70547.v2/t118
#: name: Table 118
#: description: Away <mean pT(charged)> vs charged multiplicity, dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table142.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Away region,,,
#: - Dressed leptons,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
N(P=3),N(P=3) LOW,N(P=3) HIGH,AVERAGE PT(P=3) [GEV],error +,error -
1.0,0.5,1.5,1.000029,0.008127397,-0.008127397
2.0,1.5,2.5,1.078135,0.007874984,-0.007874984
3.0,2.5,3.5,1.153934,0.007075709,-0.007075709
4.0,3.5,4.5,1.20536,0.006678132,-0.006678132
5.0,4.5,5.5,1.2594,0.00676956,-0.00676956
6.0,5.5,6.5,1.296413,0.006874288,-0.006874288
7.0,6.5,7.5,1.3304,0.007639168,-0.007639168
8.0,7.5,8.5,1.355414,0.007943872,-0.007943872
9.0,8.5,9.5,1.390335,0.008290764,-0.008290764
10.0,9.5,10.5,1.416046,0.008270791,-0.008270791
11.5,10.5,12.5,1.445165,0.007820755,-0.007820755
13.75,12.5,15.0,1.482029,0.008106878,-0.008106878
17.5,15.0,20.0,1.53782,0.00813514,-0.00813514
25.0,20.0,30.0,1.632249,0.008802563,-0.008802563
40.0,30.0,50.0,1.822661,0.01026689,-0.01026689

