#: table_doi: 10.17182/hepdata.70547.v2/t123
#: name: Table 123
#: description: Trans.min. scalar pT sum distribution, Z-boson pT = 50 - 110 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table147.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.10025,0.0955,0.105,2.059684,0.06088298,-0.06088298
0.11075,0.105,0.1165,1.631534,0.05371564,-0.05371564
0.12225,0.1165,0.128,1.466728,0.05007375,-0.05007375
0.13369999999999999,0.128,0.1394,1.219195,0.05449172,-0.05449172
0.1461,0.1394,0.1528,1.026606,0.0428023,-0.0428023
0.16044999999999998,0.1528,0.1681,0.7853387,0.03387771,-0.03387771
0.17765,0.1681,0.1872,0.6539115,0.03059259,-0.03059259
0.19675,0.1872,0.2063,0.64359,0.02822465,-0.02822465
0.21775,0.2063,0.2292,0.8015309,0.02544515,-0.02544515
0.24064999999999998,0.2292,0.2521,0.9625391,0.0260438,-0.0260438
0.26165,0.2521,0.2712,0.873075,0.02485256,-0.02485256
0.28359999999999996,0.2712,0.296,0.7558143,0.02378466,-0.02378466
0.31035,0.296,0.3247,0.7313142,0.0212418,-0.0212418
0.3438,0.3247,0.3629,0.753447,0.01696059,-0.01696059
0.382,0.3629,0.4011,0.7350804,0.0156163,-0.0156163
0.4202,0.4011,0.4393,0.6639853,0.01556013,-0.01556013
0.45840000000000003,0.4393,0.4775,0.6744198,0.01422862,-0.01422862
0.50615,0.4775,0.5348,0.6311096,0.01279889,-0.01279889
0.56345,0.5348,0.5921,0.6027417,0.0119155,-0.0119155
0.6207499999999999,0.5921,0.6494,0.5557297,0.01100005,-0.01100005
0.6779999999999999,0.6494,0.7066,0.5189149,0.01053067,-0.01053067
0.7448,0.7066,0.783,0.4862344,0.009583768,-0.009583768
0.8212,0.783,0.8594,0.4407814,0.008811826,-0.008811826
0.8976,0.8594,0.9358,0.4103166,0.008348764,-0.008348764
0.9931,0.9358,1.0504,0.3667796,0.007941047,-0.007941047
1.0934,1.0504,1.1364,0.3003517,0.007364378,-0.007364378
1.1937,1.1364,1.251,0.2711656,0.006611636,-0.006611636
1.31305,1.251,1.3751,0.2360674,0.005906798,-0.005906798
1.4419499999999998,1.3751,1.5088,0.1952087,0.005304532,-0.005304532
1.5852,1.5088,1.6616,0.1602769,0.004932029,-0.004932029
1.74755,1.6616,1.8335,0.1295332,0.004288165,-0.004288165
1.9242,1.8335,2.0149,0.1010068,0.003615909,-0.003615909
2.11515,2.0149,2.2154,0.07773259,0.003139378,-0.003139378
2.33,2.2154,2.4446,0.05982796,0.002688489,-0.002688489
2.564,2.4446,2.6834,0.04779258,0.002302388,-0.002302388
2.81705,2.6834,2.9507,0.03505827,0.00187125,-0.00187125
3.09875,2.9507,3.2468,0.0241163,0.001524351,-0.001524351
3.4091,3.2468,3.5714,0.01630468,0.00115393,-0.00115393
3.7481,3.5714,3.9248,0.01180101,0.0008846885,-0.0008846885
4.12055,3.9248,4.3163,0.008476845,0.0007204742,-0.0007204742
4.5359,4.3163,4.7555,0.006143441,0.0005743775,-0.0005743775
4.994249999999999,4.7555,5.233,0.004629918,0.0004277716,-0.0004277716
5.49085,5.233,5.7487,0.003507271,0.0003855063,-0.0003855063
6.03515,5.7487,6.3216,0.003424052,0.0003130596,-0.0003130596
6.641500000000001,6.3216,6.9614,0.002362929,0.0002511643,-0.0002511643
7.309950000000001,6.9614,7.6585,0.001779398,0.0002235597,-0.0002235597
8.0405,7.6585,8.4225,0.001410463,0.000167054,-0.000167054
8.842649999999999,8.4225,9.2628,0.001006456,0.0001504911,-0.0001504911
9.725950000000001,9.2628,10.1891,0.0006633057,0.0001180043,-0.0001180043
10.7,10.1891,11.2109,0.0005431037,0.0001059643,-0.0001059643

