#: table_doi: 10.17182/hepdata.70547.v2/t128
#: name: Table 128
#: description: Trans.max. scalar pT sum distribution, Z-boson pT = 5 - 10 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table152.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,5.0-10.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.10025,0.0955,0.105,0.8747396,0.02148517,-0.02148517
0.11075,0.105,0.1165,0.7759307,0.0200723,-0.0200723
0.12225,0.1165,0.128,0.7327262,0.01850253,-0.01850253
0.13369999999999999,0.128,0.1394,0.6767357,0.02715294,-0.02715294
0.1461,0.1394,0.1528,0.6233645,0.02336251,-0.02336251
0.16044999999999998,0.1528,0.1681,0.5447686,0.02166806,-0.02166806
0.17765,0.1681,0.1872,0.453968,0.0182907,-0.0182907
0.19675,0.1872,0.2063,0.404998,0.01682758,-0.01682758
0.21775,0.2063,0.2292,0.5538724,0.015683,-0.015683
0.24064999999999998,0.2292,0.2521,0.5921905,0.01412491,-0.01412491
0.26165,0.2521,0.2712,0.5768723,0.01133941,-0.01133941
0.28359999999999996,0.2712,0.296,0.5765707,0.01115524,-0.01115524
0.31035,0.296,0.3247,0.5636422,0.0108402,-0.0108402
0.3438,0.3247,0.3629,0.5647137,0.009494214,-0.009494214
0.382,0.3629,0.4011,0.5898934,0.01067504,-0.01067504
0.4202,0.4011,0.4393,0.5866991,0.008470802,-0.008470802
0.45840000000000003,0.4393,0.4775,0.5977884,0.009296682,-0.009296682
0.50615,0.4775,0.5348,0.5953478,0.008395484,-0.008395484
0.56345,0.5348,0.5921,0.5788609,0.007918491,-0.007918491
0.6207499999999999,0.5921,0.6494,0.568856,0.006794792,-0.006794792
0.6779999999999999,0.6494,0.7066,0.5567737,0.006686136,-0.006686136
0.7448,0.7066,0.783,0.5415456,0.005586143,-0.005586143
0.8212,0.783,0.8594,0.5141708,0.005215195,-0.005215195
0.8976,0.8594,0.9358,0.5030094,0.004927493,-0.004927493
0.9931,0.9358,1.0504,0.4729555,0.00428961,-0.00428961
1.0934,1.0504,1.1364,0.4296178,0.00450305,-0.00450305
1.1937,1.1364,1.251,0.4038406,0.004087307,-0.004087307
1.31305,1.251,1.3751,0.3619612,0.004023743,-0.004023743
1.4419499999999998,1.3751,1.5088,0.3225943,0.003865888,-0.003865888
1.5852,1.5088,1.6616,0.278601,0.003538455,-0.003538455
1.74755,1.6616,1.8335,0.2353297,0.003184893,-0.003184893
1.9242,1.8335,2.0149,0.1964133,0.002863979,-0.002863979
2.11515,2.0149,2.2154,0.1567777,0.002511701,-0.002511701
2.33,2.2154,2.4446,0.1230847,0.002306457,-0.002306457
2.564,2.4446,2.6834,0.09268969,0.002003132,-0.002003132
2.81705,2.6834,2.9507,0.06919665,0.001709841,-0.001709841
3.09875,2.9507,3.2468,0.04898622,0.00143506,-0.00143506
3.4091,3.2468,3.5714,0.03317397,0.001109744,-0.001109744
3.7481,3.5714,3.9248,0.02190758,0.0008531273,-0.0008531273
4.12055,3.9248,4.3163,0.01267347,0.0006172066,-0.0006172066
4.5359,4.3163,4.7555,0.00854706,0.0004810886,-0.0004810886
4.994249999999999,4.7555,5.233,0.004360111,0.0003594429,-0.0003594429
5.49085,5.233,5.7487,0.002495174,0.0002987309,-0.0002987309
6.03515,5.7487,6.3216,0.00120594,0.0002482027,-0.0002482027
6.641500000000001,6.3216,6.9614,0.0005984354,0.0001651743,-0.0001651743

