#: table_doi: 10.17182/hepdata.70547.v2/t19
#: name: Table 19
#: description: Towards charged multiplicity distribution, Z-boson pT = 10 - 20 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table19.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,10.0-20.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.6467067,0.01114949,-0.01114949
0.19095,0.1432,0.2387,0.708449,0.01077333,-0.01077333
0.28645,0.2387,0.3342,0.7659213,0.01023812,-0.01023812
0.38195,0.3342,0.4297,0.8050294,0.01031229,-0.01031229
0.47745000000000004,0.4297,0.5252,0.7971736,0.01024206,-0.01024206
0.5729500000000001,0.5252,0.6207,0.7657826,0.01016131,-0.01016131
0.66845,0.6207,0.7162,0.7117008,0.008925013,-0.008925013
0.7639499999999999,0.7162,0.8117,0.6651235,0.007499303,-0.007499303
0.85945,0.8117,0.9072,0.605023,0.006563219,-0.006563219
0.95495,0.9072,1.0027,0.5396528,0.005632444,-0.005632444
1.05045,1.0027,1.0982,0.4819422,0.004891241,-0.004891241
1.14595,1.0982,1.1937,0.4208337,0.004788086,-0.004788086
1.24145,1.1937,1.2892,0.3568402,0.005378117,-0.005378117
1.3369,1.2892,1.3846,0.3062451,0.00585393,-0.00585393
1.43235,1.3846,1.4801,0.2537919,0.006091123,-0.006091123
1.52785,1.4801,1.5756,0.2109088,0.006113686,-0.006113686
1.6233499999999998,1.5756,1.6711,0.1754354,0.005984762,-0.005984762
1.71885,1.6711,1.7666,0.1416333,0.005875358,-0.005875358
1.8143500000000001,1.7666,1.8621,0.1142521,0.005843414,-0.005843414
1.90985,1.8621,1.9576,0.09253649,0.005437975,-0.005437975
2.00535,1.9576,2.0531,0.07587719,0.004924142,-0.004924142
2.1008500000000003,2.0531,2.1486,0.06062122,0.004547813,-0.004547813
2.19635,2.1486,2.2441,0.04921928,0.004037132,-0.004037132
2.29185,2.2441,2.3396,0.04093498,0.003597343,-0.003597343
2.3873499999999996,2.3396,2.4351,0.03301352,0.002955846,-0.002955846
2.48285,2.4351,2.5306,0.02731509,0.002360547,-0.002360547
2.5783500000000004,2.5306,2.6261,0.02050085,0.00182126,-0.00182126
2.72155,2.6261,2.817,0.01383874,0.001529005,-0.001529005
2.9125,2.817,3.008,0.008378114,0.001202039,-0.001202039
3.1035,3.008,3.199,0.005235329,0.0006983798,-0.0006983798
3.2945,3.199,3.39,0.003314164,0.0005136768,-0.0005136768
3.4855,3.39,3.581,0.002356181,0.0003897768,-0.0003897768

