#: table_doi: 10.17182/hepdata.70547.v2/t25
#: name: Table 25
#: description: Transverse charged multiplicity distribution, Z-boson pT = 10 - 20 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table25.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,10.0-20.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.5341577,0.01356233,-0.01356233
0.19095,0.1432,0.2387,0.6508022,0.01317134,-0.01317134
0.28645,0.2387,0.3342,0.7304717,0.0133992,-0.0133992
0.38195,0.3342,0.4297,0.7541698,0.01245446,-0.01245446
0.47745000000000004,0.4297,0.5252,0.7647612,0.0105945,-0.0105945
0.5729500000000001,0.5252,0.6207,0.7511411,0.01011279,-0.01011279
0.66845,0.6207,0.7162,0.7217096,0.009190395,-0.009190395
0.7639499999999999,0.7162,0.8117,0.6717078,0.007970746,-0.007970746
0.85945,0.8117,0.9072,0.6197739,0.006436824,-0.006436824
0.95495,0.9072,1.0027,0.5600774,0.005728801,-0.005728801
1.05045,1.0027,1.0982,0.5076112,0.004924244,-0.004924244
1.14595,1.0982,1.1937,0.4441549,0.004872841,-0.004872841
1.24145,1.1937,1.2892,0.3862983,0.005527105,-0.005527105
1.3369,1.2892,1.3846,0.3350693,0.006029933,-0.006029933
1.43235,1.3846,1.4801,0.2898078,0.006734921,-0.006734921
1.52785,1.4801,1.5756,0.2483622,0.006814034,-0.006814034
1.6233499999999998,1.5756,1.6711,0.2124015,0.006794858,-0.006794858
1.71885,1.6711,1.7666,0.1768224,0.006706667,-0.006706667
1.8143500000000001,1.7666,1.8621,0.1465395,0.006265616,-0.006265616
1.90985,1.8621,1.9576,0.1208611,0.006065439,-0.006065439
2.00535,1.9576,2.0531,0.0985667,0.005789381,-0.005789381
2.1008500000000003,2.0531,2.1486,0.08118621,0.005192638,-0.005192638
2.19635,2.1486,2.2441,0.06714798,0.004839371,-0.004839371
2.29185,2.2441,2.3396,0.05312106,0.004359907,-0.004359907
2.3873499999999996,2.3396,2.4351,0.04471556,0.003609616,-0.003609616
2.48285,2.4351,2.5306,0.03558067,0.002968286,-0.002968286
2.5783500000000004,2.5306,2.6261,0.02941479,0.002339055,-0.002339055
2.72155,2.6261,2.817,0.02059004,0.001884515,-0.001884515
2.9125,2.817,3.008,0.01310234,0.001545233,-0.001545233
3.1035,3.008,3.199,0.009394793,0.0009787279,-0.0009787279
3.2945,3.199,3.39,0.005659553,0.0006638468,-0.0006638468
3.4855,3.39,3.581,0.003880795,0.0005329416,-0.0005329416
3.9391,3.581,4.2972,0.001114228,0.0003946056,-0.0003946056

