#: table_doi: 10.17182/hepdata.70547.v2/t31
#: name: Table 31
#: description: Trans.min. charged multiplicity distribution, Z-boson pT = 10 - 20 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table37.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,10.0-20.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.8784972,0.01015107,-0.01015107
0.382,0.2865,0.4775,0.8165876,0.007834908,-0.007834908
0.573,0.4775,0.6685,0.6998494,0.006029304,-0.006029304
0.76395,0.6685,0.8594,0.5559737,0.00329272,-0.00329272
0.9549000000000001,0.8594,1.0504,0.426103,0.002821345,-0.002821345
1.1459000000000001,1.0504,1.2414,0.3142321,0.003935143,-0.003935143
1.3369,1.2414,1.4324,0.2245349,0.004934224,-0.004934224
1.5278999999999998,1.4324,1.6234,0.1578573,0.00527499,-0.00527499
1.7189,1.6234,1.8144,0.1065428,0.004965514,-0.004965514
1.9099,1.8144,2.0054,0.07212471,0.004293063,-0.004293063
2.10085,2.0054,2.1963,0.04658981,0.003567972,-0.003567972
2.2918000000000003,2.1963,2.3873,0.0305677,0.00287273,-0.00287273
2.4828,2.3873,2.5783,0.01957972,0.002228901,-0.002228901
2.6738,2.5783,2.7693,0.0127391,0.001743205,-0.001743205
2.8648,2.7693,2.9603,0.00818246,0.001334346,-0.001334346
3.0558,2.9603,3.1513,0.005150788,0.001006894,-0.001006894
3.2468,3.1513,3.3423,0.003376782,0.000744136,-0.000744136
3.43775,3.3423,3.5332,0.001704942,0.0004966387,-0.0004966387
3.6287000000000003,3.5332,3.7242,0.001462606,0.0003963419,-0.0003963419

