#: table_doi: 10.17182/hepdata.70547.v2/t36
#: name: Table 36
#: description: Trans.max. charged multiplicity distribution, Z-boson pT = 5 - 10 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table42.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,5.0-10.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.5222403,0.007996974,-0.007996974
0.382,0.2865,0.4775,0.6503238,0.00791263,-0.00791263
0.573,0.4775,0.6685,0.6756429,0.006879657,-0.006879657
0.76395,0.6685,0.8594,0.6388617,0.005494026,-0.005494026
0.9549000000000001,0.8594,1.0504,0.5691945,0.005087082,-0.005087082
1.1459000000000001,1.0504,1.2414,0.4849622,0.004106939,-0.004106939
1.3369,1.2414,1.4324,0.3896203,0.003187471,-0.003187471
1.5278999999999998,1.4324,1.6234,0.307328,0.003311941,-0.003311941
1.7189,1.6234,1.8144,0.230762,0.004117028,-0.004117028
1.9099,1.8144,2.0054,0.1726401,0.004410873,-0.004410873
2.10085,2.0054,2.1963,0.1245612,0.004540501,-0.004540501
2.2918000000000003,2.1963,2.3873,0.08802726,0.004485984,-0.004485984
2.4828,2.3873,2.5783,0.06320082,0.004085651,-0.004085651
2.6738,2.5783,2.7693,0.04421102,0.003531008,-0.003531008
2.8648,2.7693,2.9603,0.03001098,0.002868849,-0.002868849
3.0558,2.9603,3.1513,0.02113632,0.002254816,-0.002254816
3.2468,3.1513,3.3423,0.01356513,0.001705579,-0.001705579
3.43775,3.3423,3.5332,0.009181561,0.00125215,-0.00125215
3.6287000000000003,3.5332,3.7242,0.00623072,0.0009275847,-0.0009275847
3.8197,3.7242,3.9152,0.003713221,0.0007523173,-0.0007523173
4.0107,3.9152,4.1062,0.002203625,0.000572415,-0.000572415
4.201700000000001,4.1062,4.2972,0.001365483,0.0003842984,-0.0003842984
4.3927,4.2972,4.4882,0.0009047365,0.0002837175,-0.0002837175

